,firm_name,firm_id,prefecture,firm_size,surveying_rank,surveying_exception,buildingConsulting_rank,buildingConsulting_exception,civilEngineeringConsulting_rank,civilEngineeringConsulting_exception,geologicalSurvey_rank,geologicalSurvey_exception,compensationConsultanting_rank,compensationConsultanting_exception,date
0,（株）アーキジオ,2230001010477,富山県,中小企業, 178, ,,, 594, ,  99, ,,,20200101
1,アークコーポレーション（株）,4460101000007,北海道,中小企業,1270, ,,,1007, ,,,,,20200101
2,（株）アーク・ジオ・サポート,1011001044505,東京都,中小企業, 549, ,,,1264, ,,,,,20200101
3,（株）アース・アナライザー,9130001062613,京都府,中小企業,1330, ,,,,,,,,,20200101
4,アースコンサル（株）,2230001013166,富山県,中小企業,1177, ,,,1025, ,,,,,20200101
5,アーステック（株）,7160001006924,滋賀県,中小企業, 577, ,,, 590, ,,, 488, ,20200101
6,（株）アーステック東洋,4130001013678,京都府,中小企業,1094, ,,,1258, , 196, ,,,20200101
7,（株）アート総合設計,1080401017824,静岡県,中小企業,1315,-01, 623,-01,,,,,,,20200101
8,（株）アーバンクリエイト,2140001080075,兵庫県,中小企業,1061, ,,,,,,,,,20200101
9,（株）アーバン設計,7300001000020,佐賀県,中小企業,1164, ,,,1354, , 773, , 325, ,20200101
10,（株）アーバンデザインコンサルタント,6011101000543,東京都,中小企業, 951, , 730, , 917, ,,,,,20200101
11,（株）アーバントラフィックエンジニアリング,2011101000547,東京都,中小企業,1197, ,,, 731, ,,,,,20200101
12,（株）アーバンパイオニア設計,3120001053676,大阪府,中小企業, 913, ,1053, , 463, ,,,,,20200101
13,（株）アールズ環境ソリューションズ,9021001024003,神奈川県,中小企業,1124, ,,,1655, , 745, , 795, ,20200101
14,アールテックコンサルタント（株）,9010701011534,東京都,中小企業,1087, ,,,1008, , 710, ,,,20200101
15,ＲＢコンサルタント（株）,6080101016130,静岡県,中小企業,1082, ,,,1636, ,,, 748, ,20200101
16,（株）アイエスシイ,6180001033595,愛知県,中小企業, 479, ,,, 365, , 286, , 695, ,20200101
17,相生エンジニアリング（株）,8240001021682,広島県,中小企業, 191, ,,, 588, , 738, , 289, ,20200101
18,（株）愛河調査設計,9180001033634,愛知県,中小企業, 302, , 850, , 650, , 566, , 143, ,20200101
19,（株）アイコン,4140001064340,兵庫県,中小企業, 578, ,,, 674, ,,,,,20200101
20,（株）あい造園設計事務所,4011301015442,東京都,中小企業,1312, ,1033, ,1532, ,,,,,20200101
21,（株）あいだ測量設計,6050001015301,茨城県,中小企業, 790, ,,,,,,,,,20200101
22,会津土建（株）,3380001017151,福島県,中小企業, 958, ,,,,,,,,,20200101
23,（株）アイ・ディー・エー,8070001006008,群馬県,大企業, 276, , 605, , 113, , 640, , 649, ,20200101
24,アイテックコンサルタント（株）,5011101049771,東京都,中小企業,1212, ,,, 206, ,,,,,20200101
