,firm_name,ceo_name,firm_address,firm_id,civilEngineering_qualification,civilEngineering_rank,civilEngineering_exception,civilEngineering_financial_score,civilengineering_technical_score,civilengineering_total_score,asphalt_qualification,asphalt_rank,asphalt_exception,asphalt_financial_score,asphalt_technical_score,asphalt_total_score,bridge_qualification,bridge_rank,bridge_exception,bridge_financial_score,bridge_technical_score,bridge_total_score,landscaping_qualification,landscaping_rank,landscaping_exception,landscaping_financial_score,landscaping_technical_score,landscaping_total_score,builiding_qualification,builiding_rank,builiding_exception,builiding_financial_score,builiding_technical_score,builiding_total_score,woodenbuiliding_qualification,woodenbuiliding_rank,woodenbuiliding_exception,woodenbuiliding_financial_score,woodenbuiliding_technical_score,woodenbuiliding_total_score,electricity_qualification,electricity_rank,electricity_exception,electricity_financial_score,electricity_technical_score,electricity_total_score,airconditioning_qualification,airconditioning_rank,airconditioning_exception,airconditioning_financial_score,airconditioning_technical_score,airconditioning_total_score,cement_qualification,cement_rank,cement_exception,cement_financial_score,cement_technical_score,cement_total_score,prestressed_qualification,prestressed_rank,prestressed_exception,prestressed_financial_score,prestressed_technical_score,prestressed_total_score,slope_qualification,slope_rank,slope_exception,slope_financial_score,slope_technical_score,slope_total_score,painting_qualification,painting_rank,painting_exception,painting_financial_score,painting_technical_score,painting_total_score,maintenance_qualification,maintenance_rank,maintenance_exception,maintenance_financial_score,maintenance_technical_score,maintenance_total_score,dredging_qualification,dredging_rank,dredging_exception,dredging_financial_score,dredging_technical_score,dredging_total_score,grout_qualification,grout_rank,grout_exception,grout_financial_score,grout_technical_score,grout_total_score,stakeout_qualification,stakeout_rank,stakeout_exception,stakeout_financial_score,stakeout_technical_score,stakeout_total_score,well_qualification,well_rank,well_exception,well_financial_score,well_technical_score,well_total_score,prefab_qualification,prefab_rank,prefab_exception,prefab_financial_score,prefab_technical_score,prefab_total_score,machinery_qualification,machinery_rank,machinery_exception,machinery_financial_score,machinery_technical_score,machinery_total_score,communication_qualification,communication_rank,communication_exception,communication_financial_score,communication_technical_score,communication_total_score,substation_qualification,substation_rank,substation_exception,substation_financial_score,substation_technical_score,substation_total_score,date
0,アイサワ工業（株）,逢澤　寛人,岡山県岡山市北区表町１－５－１,4260001000102,A,  29, ,1549,1843,3392,C, 400, ,911,0,911,○, 180, ,1130,0,1130,B,  72, ,951,0,951,B,  66, ,1525,976,2501,○,  72, ,1223,0,1223,C, 329, ,913,0,913,,,,,,,○, 229, ,911,0,911,○,  96, ,1154,0,1154,○, 367, ,1243,0,1243,,,,,,,○,1024, ,1243,0,1243,○,  16, ,1025,1103,2128,○,  73, ,1243,0,1243,○,  61, ,1130,0,1130,,,,,,,○,  52, ,1223,0,1223,○, 427, ,940,0,940,,,,,,,,,,,,,20200201
1,青木あすなろ建設（株）,辻井　靖,東京都千代田区神田美土代町１,4010401010452,A,  20, ,1678,1888,3566,C, 304, ,1044,0,1044,○, 165, ,1188,0,1188,B,  25, ,1104,0,1104,A,  35, ,1675,1404,3079,○,  54, ,1293,0,1293,C, 178, ,1005,0,1005,C,  57, ,1189,0,1189,○, 118, ,1044,0,1044,○,  74, ,1318,0,1318,○,  47, ,1298,870,2168,,,,,,,○,  91, ,1298,1108,2406,○,  98, ,1098,0,1098,○,  64, ,1298,0,1298,○,  48, ,1188,0,1188,,,,,,,○,  41, ,1293,0,1293,○, 328, ,1109,0,1109,,,,,,,○, 258, ,1005,0,1005,20200201
2,（株）安藤・間,福富　正人,東京都港区赤坂６－１－２０,2010401051696,A,   7, ,1968,2036,4004,C, 245, ,1351,0,1351,○, 143, ,1350,0,1350,B,   9, ,1217,0,1217,A,   5, ,1990,1984,3974,○,  15, ,1657,0,1657,C,  18, ,1312,0,1312,B, 303, ,1410,0,1410,○,  70, ,1302,0,1302,○,  24, ,1522,1246,2768,○,  12, ,1603,868,2471,○, 220, ,1201,0,1201,○, 873, ,1490,0,1490,○,  80, ,1280,0,1280,○,  38, ,1499,0,1499,○,  31, ,1329,0,1329,,,,,,,○,  18, ,1512,0,1512,○, 258, ,1354,0,1354,○, 235, ,1354,0,1354,○, 140, ,1294,0,1294,20200201
3,（株）大林組,蓮輪　賢治,東京都港区港南２－１５－２,7010401088742,A,   3, ,2014,2077,4091,C, 223, ,1424,0,1424,○,  95, ,1644,0,1644,B,   1, ,1378,0,1378,A,   6, ,2039,1853,3892,○,  10, ,1745,0,1745,B, 211, ,1795,0,1795,B, 201, ,1755,0,1755,○,  62, ,1435,0,1435,○,  12, ,1714,1580,3294,○,   5, ,1695,864,2559,,,,,,,○, 644, ,1676,0,1676,○,  69, ,1411,0,1411,○,  24, ,1728,0,1728,○,  11, ,1686,0,1686,,,,,,,○,   5, ,1967,0,1967,○, 161, ,1759,0,1759,○, 206, ,1505,0,1505,○,  79, ,1638,0,1638,20200201
4,（株）大本組,大本　万平,岡山県岡山市北区内山下１－１－１３,7260001001493,A,  31, ,1634,1709,3343,C, 310, ,1021,0,1021,○, 173, ,1155,0,1155,B,  44, ,1029,0,1029,B,  20, ,1695,1057,2752,○,  57, ,1282,0,1282,C, 140, ,1048,0,1048,C, 112, ,1099,0,1099,○, 125, ,1021,0,1021,○,  92, ,1182,0,1182,○, 360, ,1282,0,1282,,,,,,,○, 160, ,1417,821,2238,○,   9, ,1365,990,2355,○,  66, ,1282,0,1282,○,  56, ,1155,0,1155,,,,,,,,,,,,,○, 292, ,1204,0,1204,,,,,,,,,,,,,20200201
5,（株）奥村組,奥村　太加典,大阪府大阪市阿倍野区松崎町２－２－２,7120001004931,A,  14, ,1861,1910,3771,C, 264, ,1187,0,1187,○, 151, ,1302,0,1302,B,  22, ,1131,0,1131,A,  13, ,1909,1762,3671,○,  23, ,1554,0,1554,C,   5, ,1373,0,1373,B, 312, ,1373,0,1373,○,  86, ,1187,0,1187,○,  35, ,1360,943,2303,○,  15, ,1525,905,2430,,,,,,,○,  35, ,1574,1061,2635,○,  82, ,1238,0,1238,○,   4, ,1491,889,2380,○,  35, ,1302,0,1302,,,,,,,○,  22, ,1468,0,1468,○, 283, ,1233,0,1233,○, 264, ,1233,0,1233,○, 153, ,1239,0,1239,20200201
6,（株）福田組,荒明　正紀,新潟県新潟市中央区一番堀通町３－１０,9110001004880,A,  25, ,1642,1860,3502,C, 283, ,1113,0,1113,○,  51, ,1214,780,1994,,,,,,,B,   4, ,1766,1190,2956,○,  33, ,1401,0,1401,,,,,,,C,  21, ,1290,0,1290,○,  99, ,1100,0,1100,○,  91, ,1190,0,1190,○,   8, ,1429,1079,2508,,,,,,,○, 943, ,1411,0,1411,○,  90, ,1188,0,1188,○,  57, ,1327,0,1327,○,   4, ,1144,1031,2175,,,,,,,○,  26, ,1412,0,1412,○, 301, ,1180,0,1180,○, 289, ,1123,0,1123,,,,,,,20200201
7,（株）フジタ,奥村　洋治,東京都渋谷区千駄ヶ谷４－２５－２,8011001039242,A,   1, ,2102,2101,4203,B,  30, ,1408,816,2224,○, 127, ,1474,0,1474,B,   2, ,1371,0,1371,A,   2, ,2136,1963,4099,○,  12, ,1735,0,1735,B, 353, ,1477,0,1477,A,  29, ,1680,1092,2772,○,  83, ,1196,0,1196,○,  15, ,1658,1461,3119,○,  20, ,1702,679,2381,○, 225, ,1185,0,1185,○,  88, ,1579,830,2409,○,  84, ,1227,0,1227,○,  34, ,1582,0,1582,○,   1, ,1512,975,2487,,,,,,,○,  12, ,1647,0,1647,○, 211, ,1543,0,1543,,,,,,,○, 122, ,1352,0,1352,20200201
8,（株）不動テトラ,奥田　眞也,東京都中央区日本橋小網町７－２　ぺんてるビル,4010001141053,A,  23, ,1682,1830,3512,C, 268, ,1168,0,1168,○, 163, ,1204,0,1204,B,  36, ,1061,0,1061,D,  71, ,1272,0,1272,,,,,,,,,,,,,,,,,,,○, 108, ,1069,0,1069,○,  73, ,1328,0,1328,○, 361, ,1276,0,1276,○, 343, ,902,0,902,○,1013, ,1276,0,1276,○,  77, ,1297,0,1297,○,  68, ,1276,0,1276,○,  46, ,1204,0,1204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200201
9,鹿島建設（株）,押味　至一,東京都港区元赤坂１－３－１,8010401006744,A,   2, ,2027,2069,4096,C, 243, ,1366,0,1366,○, 133, ,1428,0,1428,B,  28, ,1100,0,1100,A,   1, ,2049,2074,4123,○,  16, ,1652,0,1652,C,   3, ,1381,0,1381,B,  48, ,1406,761,2167,○,  68, ,1366,0,1366,○,   6, ,1694,1729,3423,○, 272, ,1549,0,1549,○, 223, ,1192,0,1192,○,  24, ,1589,1140,2729,○,  73, ,1394,0,1394,○,  35, ,1551,0,1551,○,   2, ,1532,946,2478,○,  39, ,1075,0,1075,○,  13, ,1631,0,1631,○, 204, ,1566,0,1566,○, 226, ,1394,0,1394,○, 126, ,1339,0,1339,20200201
