,airconditioning_exception,airconditioning_financial_score,airconditioning_qualification,airconditioning_rank,airconditioning_technical_score,airconditioning_total_score,asphalt_exception,asphalt_financial_score,asphalt_qualification,asphalt_rank,asphalt_technical_score,asphalt_total_score,bridge_exception,bridge_financial_score,bridge_qualification,bridge_rank,bridge_technical_score,bridge_total_score,bridgemaintenance_exception,bridgemaintenance_financial_score,bridgemaintenance_qualification,bridgemaintenance_rank,bridgemaintenance_score,bridgemaintenance_technical_score,builiding_exception,builiding_financial_score,builiding_qualification,builiding_rank,builiding_technical_score,builiding_total_score,cement_exception,cement_financial_score,cement_qualification,cement_rank,cement_technical_score,cement_total_score,ceo_name,civilengineering_exception,civilengineering_financial_score,civilengineering_qualification,civilengineering_rank,civilengineering_technical_score,civilengineering_total_score,communication_exception,communication_financial_score,communication_qualification,communication_rank,communication_technical_score,communication_total_score,date,dredging_exception,dredging_financial_score,dredging_qualification,dredging_rank,dredging_technical_score,dredging_total_score,electricity_exception,electricity_financial_score,electricity_qualification,electricity_rank,electricity_technical_score,electricity_total_score,firm_address,firm_id,firm_name,grout_exception,grout_financial_score,grout_qualification,grout_rank,grout_technical_score,grout_total_score,landscaping_exception,landscaping_financial_score,landscaping_qualification,landscaping_rank,landscaping_technical_score,landscaping_total_score,machinery_exception,machinery_financial_score,machinery_qualification,machinery_rank,machinery_technical_score,machinery_total_score,maintenance_exception,maintenance_financial_score,maintenance_qualification,maintenance_rank,maintenance_technical_score,maintenance_total_score,painting_exception,painting_financial_score,painting_qualification,painting_rank,painting_technical_score,painting_total_score,prefab_exception,prefab_financial_score,prefab_qualification,prefab_rank,prefab_technical_score,prefab_total_score,prestressed_exception,prestressed_financial_score,prestressed_qualification,prestressed_rank,prestressed_technical_score,prestressed_total_score,slope_exception,slope_financial_score,slope_qualification,slope_rank,slope_technical_score,slope_total_score,stakeout_exception,stakeout_financial_score,stakeout_qualification,stakeout_rank,stakeout_technical_score,stakeout_total_score,substation_exception,substation_financial_score,substation_qualification,substation_rank,substation_technical_score,substation_total_score,well_exception,well_financial_score,well_qualification,well_rank,well_technical_score,well_total_score,woodenbuiliding_exception,woodenbuiliding_financial_score,woodenbuiliding_qualification,woodenbuiliding_rank,woodenbuiliding_technical_score,woodenbuiliding_total_score
0, ,1227,C,  33,0,1227, ,1077,C, 285,0,1077, ,1181,○, 158,0,1181, ,1330,○,  59,1330,0, ,1718,A,   9,1902,3620, ,1077,○, 102,0,1077,辻井　靖, ,1719,A,  20,1740,3459,,,,,,,20211215, ,1130,○,  80,0,1130, ,1035,C, 160,0,1035,東京都千代田区神田美土代町１,4010401010452,青木あすなろ建設（株）, ,1330,○,  54,0,1330, ,1134,B,  20,0,1134, ,1151,○, 299,0,1151, ,1330,○, 101,1004,2334,,,,,,, ,1329,○,  30,0,1329, ,1342,○,  65,0,1342, ,1330,○,  40,807,2137, ,1181,○,  45,0,1181, ,1035,○, 281,0,1035,,,,,,, ,1329,○,  46,0,1329
1, ,1355,B, 323,0,1355, ,1209,C, 261,0,1209, ,1283,○, 144,0,1283, ,1532,○,  22,1532,0, ,1932,A,   4,1933,3865, ,1145,○,  85,0,1145,福富　正人, ,1913,A,   7,1965,3878, ,1279,○, 258,0,1279,20211215, ,1202,○,  72,0,1202, ,1256,C,  46,0,1256,東京都港区赤坂６－１－２０,2010401051696,（株）安藤・間, ,1440,○,  37,0,1440, ,1200,B,  15,0,1200, ,1279,○, 259,0,1279, ,1435,○, 879,0,1435, ,1203,○, 209,0,1203, ,1454,○,  14,0,1454, ,1546,○,  17,1386,2932, ,1592,○,  16,805,2397, ,1283,○,  33,0,1283, ,1209,○, 214,0,1209,,,,,,, ,1591,○,  21,0,1591
2, ,1885,B, 128,0,1885, ,1399,C, 226,0,1399, ,1682,○, 101,0,1682, ,1745,○,   1,1745,0, ,2042,A,   8,1726,3768, ,1382,○,  59,0,1382,蓮輪　賢治, ,2018,A,   3,1976,3994, ,1511,○, 197,0,1511,20211215, ,1397,○,  60,0,1397, ,1774,B, 252,0,1774,東京都港区港南２－１５－２　品川インターシティＢ棟,7010401088742,（株）大林組, ,1770,○,  22,0,1770, ,1299,B,   5,0,1299, ,1759,○, 164,0,1759, ,1698,○, 636,0,1698,,,,,,, ,2013,○,   3,0,2013, ,1735,○,  15,1304,3039, ,1758,○,   7,785,2543, ,1672,○,  12,0,1672, ,1578,○, 132,0,1578,,,,,,, ,1744,○,  13,0,1744
3, ,1123,C,  89,0,1123, ,1049,C, 302,0,1049, ,1157,○,  64,833,1990, ,1444,○,  31,1444,0, ,1696,B,  35,903,2599, ,1049,○, 110,0,1049,三宅　啓一, ,1677,A,  24,1698,3375,,,,,,,20211215, ,1345,○,  10,975,2320, ,1075,C, 136,0,1075,岡山県岡山市北区内山下１－１－１３,7260001001493,（株）大本組, ,1314,○,  58,0,1314, ,1051,B,  41,0,1051, ,1215,○, 281,0,1215, ,1442,○, 871,0,1442,,,,,,,,,,,,, ,1210,○,  80,0,1210, ,1314,○, 344,0,1314, ,1157,○,  52,0,1157,,,,,,,,,,,,, ,1306,○,  51,0,1306
4, ,1283,C,  10,0,1283, ,1104,C, 277,0,1104, ,1245,○, 146,0,1245, ,1479,○,  25,1479,0, ,1844,A,  20,1549,3393, ,1104,○,  94,0,1104,奥村　太加典, ,1807,A,  18,1787,3594, ,1163,○, 291,0,1163,20211215, ,1173,○,  73,0,1173, ,1196,C,  71,0,1196,大阪府大阪市阿倍野区松崎町２－２－２,7120001004931,（株）奥村組, ,1358,○,   7,817,2175, ,1063,B,  39,0,1063, ,1163,○, 294,0,1163, ,1536,○,  22,1161,2697,,,,,,, ,1428,○,  18,0,1428, ,1316,○,  36,729,2045, ,1508,○,  18,836,2344, ,1245,○,  35,0,1245, ,1162,○, 230,0,1162,,,,,,, ,1476,○,  27,0,1476
5, ,1221,C,  39,0,1221, ,1053,C, 296,0,1053, ,1049,○,  78,807,1856, ,1299,○,  63,1299,0, ,1708,B,  15,991,2699, ,1033,○, 118,0,1033,荒明　正紀, ,1568,A,  27,1774,3342, ,1034,○, 345,0,1034,20211215, ,1122,○,  82,0,1122,,,,,,,新潟県新潟市中央区一番堀通町３－１０,9110001004880,（株）福田組, ,1252,○,  66,0,1252,,,,,,, ,1059,○, 340,0,1059, ,1342,○, 928,0,1342,,,,,,, ,1257,○,  44,0,1257, ,1124,○,  99,0,1124, ,1361,○,   9,1117,2478, ,1068,○,   4,939,2007,,,,,,,,,,,,, ,1368,○,  38,0,1368
6, ,1528,B, 282,0,1528, ,1284,C, 252,0,1284, ,1358,○, 137,0,1358, ,1584,○,  14,1584,0, ,1953,A,  16,1568,3521, ,1209,○,  74,0,1209,奥村　洋治, ,1914,A,  13,1738,3652,,,,,,,20211215, ,1160,○,  76,0,1160, ,1344,C,  26,0,1344,東京都渋谷区千駄ヶ谷４－２５－２,8011001039242,（株）フジタ, ,1447,○,  36,0,1447, ,1309,B,   4,0,1309, ,1379,○, 241,0,1379, ,1575,○,  97,774,2349, ,1285,○, 196,0,1285, ,1508,○,  12,0,1508, ,1559,○,  26,1048,2607, ,1570,○, 269,0,1570, ,1368,○,  29,0,1368, ,1395,○, 160,0,1395,,,,,,, ,1594,○,  20,0,1594
7,,,,,,, ,1009,C, 319,0,1009, ,1160,○, 164,0,1160, ,1268,○,  72,1268,0, ,1195,D,  85,0,1195, ,1009,○, 126,0,1009,奥田　眞也, ,1642,A,  23,1742,3384,,,,,,,20211215, ,1277,○,   7,1345,2622,,,,,,,東京都中央区日本橋小網町７－２　ぺんてるビル,4010001141053,（株）不動テトラ, ,1228,○,  72,0,1228, ,1011,B,  53,0,1011,,,,,,, ,1228,○, 978,0,1228, ,857,○, 389,0,857,,,,,,, ,1279,○,  73,0,1279, ,1228,○, 358,0,1228, ,1160,○,  51,0,1160,,,,,,,,,,,,,,,,,,
8, ,1432,B, 309,0,1432, ,1399,C, 227,0,1399, ,1411,○, 132,0,1411, ,1544,○,  17,1544,0, ,2042,A,   3,1870,3912, ,1375,○,  60,0,1375,天野　裕正, ,2022,A,   1,2051,4073, ,1400,○, 232,0,1400,20211215, ,1398,○,  59,0,1398, ,1434,C,   3,0,1434,東京都港区元赤坂１－３－１,8010401006744,鹿島建設（株）, ,1544,○,  30,0,1544, ,1094,B,  31,0,1094, ,1514,○, 215,0,1514, ,1588,○,  36,1006,2594, ,1194,○, 213,0,1194, ,1625,○,   9,0,1625, ,1732,○,   7,1504,3236, ,1544,○, 285,0,1544, ,1411,○,  23,0,1411, ,1438,○, 155,0,1438, ,1069,○,  31,0,1069, ,1678,○,  18,0,1678
9, ,1213,C,  46,0,1213, ,1163,C, 269,0,1163, ,1362,○, 136,0,1362, ,1385,○,  41,1385,0, ,1872,A,  13,1680,3552, ,1163,○,  82,0,1163,櫻野　泰則, ,1863,A,  10,1813,3676, ,1243,○, 270,0,1243,20211215, ,1168,○,  74,0,1168, ,1213,C,  60,0,1213,東京都新宿区津久戸町２－１,1210001001082,（株）熊谷組, ,1385,○,  45,0,1385, ,1160,B,  18,0,1160, ,1243,○, 268,0,1243, ,1576,○,  20,1135,2711, ,963,○, 297,0,963, ,1394,○,  23,0,1394, ,1578,○,  50,0,1578, ,1562,○, 276,0,1562, ,1277,○,  34,0,1277, ,1166,○, 228,0,1166,,,,,,, ,1443,○,  30,0,1443
10, ,1426,B, 312,0,1426, ,1090,C, 282,0,1090, ,1331,○, 141,0,1331, ,1597,○,  11,1597,0,-17,1909,B,  特,1868,3777, ,1032,○, 119,0,1032,渡津　弘己, ,1843,A,  11,1832,3675, ,1039,○, 341,0,1039,20211215, ,1004,○, 101,0,1004, ,1280,C,  38,0,1280,大阪府大阪市中央区北久宝寺町３－６－１,5120001026309,（株）鴻池組, ,1407,○,  42,0,1407, ,1019,B,  49,0,1019, ,1183,○, 289,0,1183, ,1407,○, 889,0,1407, ,1065,○, 244,0,1065, ,1431,○,  17,0,1431, ,1479,○,  27,949,2428, ,1407,○,  29,803,2210, ,1331,○,  31,0,1331, ,1311,○, 181,0,1311,,,,,,, ,1523,○,  24,0,1523
11, ,1290,C,   5,0,1290, ,1339,C, 246,0,1339, ,1464,○, 125,0,1464, ,1429,○,  34,1429,0, ,1879,A,   6,1922,3801, ,1373,○,  61,0,1373,清水　琢三, ,1907,A,   9,1838,3745,,,,,,,20211215, ,1591,○,   6,1093,2684, ,1251,C,  48,0,1251,東京都文京区後楽２－２－８,1010001000006,五洋建設（株）, ,1606,○,  27,0,1606, ,1067,B,  37,0,1067, ,1466,○, 222,0,1466, ,1554,○,  17,1207,2761, ,987,○, 276,0,987,,,,,,, ,1473,○,  25,1146,2619, ,1478,○,  22,805,2283, ,1118,○,  66,0,1118,,,,,,,,,,,,, ,1450,○,   3,880,2330
12, ,1463,B, 301,0,1463, ,1297,C, 251,0,1297, ,1495,○, 124,0,1495, ,1662,○,   5,1662,0, ,1969,A,  43,887,2856, ,1202,○,  76,0,1202,前田　操治, ,1965,A,   6,1989,3954,,,,,,,20211215, ,1333,○,  68,0,1333, ,1376,C,  16,0,1376,東京都千代田区富士見２－１０－２,4010001008789,前田建設工業（株）, ,1487,○,  33,0,1487, ,1415,B,   1,0,1415, ,1372,○, 113,630,2002, ,1655,○,  53,826,2481,,,,,,, ,1848,○,   5,0,1848, ,1634,○,  14,1428,3062, ,1602,○,  12,837,2439, ,1350,○,  30,0,1350, ,1286,○, 185,0,1286,,,,,,, ,1698,○,  16,0,1698
13, ,1280,C,  13,0,1280, ,1021,C, 315,0,1021, ,1284,○, 143,0,1284, ,1644,○,   7,1644,0, ,1865,A,  18,1614,3479, ,1021,○, 124,0,1021,近藤　重敏, ,1849,A,  16,1784,3633, ,1253,○, 265,0,1253,20211215, ,1124,○,  81,0,1124, ,1119,C,  98,0,1119,東京都中央区佃２－１－６,2010001131477,三井住友建設（株）, ,1478,○,  34,0,1478, ,1007,B,  54,0,1007, ,1338,○, 249,0,1338, ,1558,○,  74,853,2411, ,1095,○, 238,0,1095, ,1428,○,  19,0,1428, ,1720,○,   2,1794,3514, ,1447,○,  24,808,2255, ,1284,○,  32,0,1284, ,1119,○, 243,0,1119,,,,,,, ,1492,○,  26,0,1492
