,firm_name,ceo_name,firm_address,firm_id,civilengineering_qualification,civilengineering_rank,civilengineering_exception,civilengineering_financial_score,civilengineering_technical_score,civilengineering_total_score,asphalt_qualification,asphalt_rank,asphalt_exception,asphalt_financial_score,asphalt_technical_score,asphalt_total_score,bridge_qualification,bridge_rank,bridge_exception,bridge_financial_score,bridge_technical_score,bridge_total_score,landscaping_qualification,landscaping_rank,landscaping_exception,landscaping_financial_score,landscaping_technical_score,landscaping_total_score,builiding_qualification,builiding_rank,builiding_exception,builiding_financial_score,builiding_technical_score,builiding_total_score,woodenbuiliding_qualification,woodenbuiliding_rank,woodenbuiliding_exception,woodenbuiliding_financial_score,woodenbuiliding_technical_score,woodenbuiliding_total_score,electricity_qualification,electricity_rank,electricity_exception,electricity_financial_score,electricity_technical_score,electricity_total_score,airconditioning_qualification,airconditioning_rank,airconditioning_exception,airconditioning_financial_score,airconditioning_technical_score,airconditioning_total_score,cement_qualification,cement_rank,cement_exception,cement_financial_score,cement_technical_score,cement_total_score,prestressed_qualification,prestressed_rank,prestressed_exception,prestressed_financial_score,prestressed_technical_score,prestressed_total_score,slope_qualification,slope_rank,slope_exception,slope_financial_score,slope_technical_score,slope_total_score,painting_qualification,painting_rank,painting_exception,painting_financial_score,painting_technical_score,painting_total_score,maintenance_qualification,maintenance_rank,maintenance_exception,maintenance_financial_score,maintenance_technical_score,maintenance_total_score,dredging_qualification,dredging_rank,dredging_exception,dredging_financial_score,dredging_technical_score,dredging_total_score,grout_qualification,grout_rank,grout_exception,grout_financial_score,grout_technical_score,grout_total_score,stakeout_qualification,stakeout_rank,stakeout_exception,stakeout_financial_score,stakeout_technical_score,stakeout_total_score,well_qualification,well_rank,well_exception,well_financial_score,well_technical_score,well_total_score,prefab_qualification,prefab_rank,prefab_exception,prefab_financial_score,prefab_technical_score,prefab_total_score,machinery_qualification,machinery_rank,machinery_exception,machinery_financial_score,machinery_technical_score,machinery_total_score,communication_qualification,communication_rank,communication_exception,communication_financial_score,communication_technical_score,communication_total_score,substation_qualification,substation_rank,substation_exception,substation_financial_score,substation_technical_score,substation_total_score,date
0,アイサワ工業（株）,逢澤　寛人,岡山県岡山市北区表町１－５－１,4260001000102,A,29,,1549,1843,3392,B,446,,911,0,911,○,155,,1130,0,1130,B,67,,951,0,951,B,65,,1525,976,2501,○,73,,1223,0,1223,C,355,,913,0,913,,,,,,,○,168,,911,0,911,○,102,,1154,0,1154,○,335,,1243,0,1243,,,,,,,○,815,,1243,0,1243,○,17,,1025,1103,2128,○,69,,1243,0,1243,○,56,,1130,0,1130,,,,,,,○,51,,1223,0,1223,○,381,,940,0,940,,,,,,,,,,,,,20191216
1,青木あすなろ建設（株）,辻井　靖,東京都千代田区神田美土代町１,4010401010452,A,20,,1678,1888,3566,B,384,,1044,0,1044,○,140,,1188,0,1188,B,31,,1104,0,1104,B,4,,1675,1404,3079,○,59,,1293,0,1293,C,254,,1005,0,1005,C,83,,1189,0,1189,○,86,,1044,0,1044,○,83,,1318,0,1318,○,53,,1298,870,2168,,,,,,,○,77,,1298,1108,2406,○,93,,1098,0,1098,○,60,,1298,0,1298,○,45,,1188,0,1188,,,,,,,○,40,,1293,0,1293,○,297,,1109,0,1109,,,,,,,○,232,,1005,0,1005,20191216
2,（株）安藤・間,福富　正人,東京都港区赤坂６－１－２０,2010401051696,A,7,,1968,2036,4004,B,338,,1351,0,1351,○,119,,1350,0,1350,B,16,,1217,0,1217,A,5,,1990,1984,3974,○,15,,1657,0,1657,C,117,,1312,0,1312,C,13,,1410,0,1410,○,44,,1302,0,1302,○,24,,1522,1246,2768,○,13,,1603,868,2471,○,197,,1201,0,1201,○,678,,1490,0,1490,○,77,,1280,0,1280,○,34,,1499,0,1499,○,29,,1329,0,1329,,,,,,,○,19,,1512,0,1512,○,234,,1354,0,1354,○,201,,1354,0,1354,○,129,,1294,0,1294,20191216
3,（株）大林組,蓮輪　賢治,東京都港区港南２－１５－２,7010401088742,A,3,,2014,2077,4091,B,331,,1424,0,1424,○,83,,1644,0,1644,B,6,,1378,0,1378,A,6,,2039,1853,3892,○,7,,1745,0,1745,B,213,,1795,0,1795,B,130,,1755,0,1755,○,40,,1435,0,1435,○,12,,1714,1580,3294,○,5,,1695,864,2559,,,,,,,○,533,,1676,0,1676,○,67,,1411,0,1411,○,23,,1728,0,1728,○,12,,1686,0,1686,,,,,,,○,5,,1967,0,1967,○,162,,1759,0,1759,○,174,,1505,0,1505,○,70,,1638,0,1638,20191216
4,（株）大本組,大本　万平,岡山県岡山市北区内山下１－１－１３,7260001001493,A,31,,1634,1709,3343,B,388,,1021,0,1021,○,149,,1155,0,1155,B,46,,1029,0,1029,B,30,,1695,1057,2752,○,61,,1282,0,1282,C,224,,1048,0,1048,C,134,,1099,0,1099,○,92,,1021,0,1021,○,98,,1182,0,1182,○,329,,1282,0,1282,,,,,,,○,139,,1417,821,2238,○,10,,1365,990,2355,○,62,,1282,0,1282,○,53,,1155,0,1155,,,,,,,,,,,,,○,261,,1204,0,1204,,,,,,,,,,,,,20191216
5,（株）奥村組,奥村　太加典,大阪府大阪市阿倍野区松崎町２－２－２,7120001004931,A,14,,1861,1910,3771,B,354,,1187,0,1187,○,125,,1302,0,1302,B,28,,1131,0,1131,A,13,,1909,1762,3671,○,27,,1554,0,1554,C,107,,1373,0,1373,C,19,,1373,0,1373,○,60,,1187,0,1187,○,35,,1360,943,2303,○,19,,1525,905,2430,,,,,,,○,33,,1574,1061,2635,○,79,,1238,0,1238,○,4,,1491,889,2380,○,33,,1302,0,1302,,,,,,,○,23,,1468,0,1468,○,252,,1233,0,1233,○,221,,1233,0,1233,○,142,,1239,0,1239,20191216
6,（株）福田組,荒明　正紀,新潟県新潟市中央区一番堀通町３－１０,9110001004880,A,25,,1642,1860,3502,B,369,,1113,0,1113,○,47,,1214,780,1994,,,,,,,B,14,,1766,1190,2956,○,40,,1401,0,1401,,,,,,,C,46,,1290,0,1290,○,70,,1100,0,1100,○,97,,1190,0,1190,○,9,,1429,1079,2508,,,,,,,○,738,,1411,0,1411,○,85,,1188,0,1188,○,53,,1327,0,1327,○,4,,1144,1031,2175,,,,,,,○,25,,1412,0,1412,○,271,,1180,0,1180,,,,,,,,,,,,,20191216
7,（株）フジタ,奥村　洋治,東京都渋谷区千駄ヶ谷４－２５－２,8011001039242,A,1,,2102,2101,4203,B,33,,1408,816,2224,○,107,,1474,0,1474,B,7,,1371,0,1371,A,2,,2136,1963,4099,○,9,,1735,0,1735,C,79,,1477,0,1477,A,28,,1680,1092,2772,○,57,,1196,0,1196,○,15,,1658,1461,3119,○,23,,1702,679,2381,○,202,,1185,0,1185,○,102,,1579,761,2340,○,81,,1227,0,1227,○,30,,1582,0,1582,○,1,,1512,975,2487,,,,,,,○,12,,1647,0,1647,○,202,,1543,0,1543,,,,,,,○,113,,1352,0,1352,20191216
8,（株）不動テトラ,奥田　眞也,東京都中央区日本橋小網町７－２　ぺんてるビル,4010001141053,A,23,,1682,1830,3512,B,357,,1168,0,1168,○,137,,1204,0,1204,B,41,,1061,0,1061,C,486,,1272,0,1272,,,,,,,,,,,,,,,,,,,○,77,,1069,0,1069,○,81,,1328,0,1328,○,330,,1276,0,1276,○,311,,902,0,902,○,804,,1276,0,1276,○,75,,1297,0,1297,○,64,,1276,0,1276,○,43,,1204,0,1204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20191216
9,鹿島建設（株）,押味　至一,東京都港区元赤坂１－３－１,8010401006744,A,2,,2027,2069,4096,B,336,,1366,0,1366,○,110,,1428,0,1428,B,34,,1100,0,1100,A,1,,2049,2074,4123,○,17,,1652,0,1652,C,105,,1381,0,1381,B,25,,1406,761,2167,○,43,,1366,0,1366,○,6,,1694,1729,3423,○,267,,1549,0,1549,○,200,,1192,0,1192,○,23,,1589,1140,2729,○,71,,1394,0,1394,○,32,,1551,0,1551,○,2,,1532,946,2478,○,34,,1075,0,1075,○,13,,1631,0,1631,○,198,,1566,0,1566,○,194,,1394,0,1394,○,117,,1339,0,1339,20191216
