,firm_name,firm_id,prefecture,firm_size,surveying_rank,surveying_exception,buildingConsulting_rank,buildingConsulting_exception,civilEngineeringConsulting_rank,civilEngineeringConsulting_exception,geologicalSurvey_rank,geologicalSurvey_exception,compensationConsultanting_rank,compensationConsultanting_exception,date
0,（株）アーキジオ,11-01966,富山県,中小,130,,460,,,,,,73,,20191223
1,アークコーポレーション（株）,28-00031,帯広市,中小,915,,710,,,,,,,,20191223
2,（株）アーク・ジオ・サポート,11-03254,東京都,中小,410,,865,,,,,,,,20191223
3,（株）アークス山上,25-00338,旭川市,中小,539,,488,,,,,,,,20191223
4,（株）アース・アナライザー,11-05421,京都府,中小,966,,,,,,,,,,20191223
5,アースコンサルタント（株）,25-00091,旭川市,中小,816,,566,,,,,,108,,20191223
6,（株）アース設計事務所,21-00870,札幌市,中小,933,,730,,,,,,,,20191223
7,アース測量設計（株）,23-00318,函館市,中小,702,,1059,,,,,,,,20191223
8,（株）アーバン設計,11-04977,佐賀県,中小,816,,928,,,,173,,,,20191223
9,（株）アーバンデザインコンサルタント,11-02179,東京都,中小,539,,609,,435,,,,,,20191223
10,（株）アーバントラフィックエンジニアリング,11-03669,東京都,中小,816,,547,,,,,,,,20191223
11,アールテックコンサルタント（株）,11-03083,東京都,中小,767,,710,,,,,,483,,20191223
12,（株）アイエスシイ,11-02181,愛知県,中小,340,,309,,,,342,,214,,20191223
13,相生エンジニアリング（株）,11-04320,広島県,中小,140,,460,,,,166,,501,,20191223
14,（株）愛河調査設計,11-03069,愛知県,中小,209,,488,,435,,90,,,,20191223
15,（株）Ａｉ測地コンサル,22-03275,江別市,中小,816,,,,,,,,,,20191223
16,会津土建（株）,11-04131,福島県,中小,539,,,,,,,,,,20191223
17,（株）アイテック,11-03928,青森県,中小,362,,609,,,,108,,246,,20191223
18,（株）アイ・ディー・エー,11-04021,群馬県,大手,201,,97,,376,,342,,428,,20191223
19,（株）アイネス,21-01482,札幌市,中小,276,,185,,,,,,246,,20191223
20,アイレック技建（株）,11-02682,東京都,大手,869,,314,,,,,,,,20191223
21,（株）葵エンジニアリング,11-04607,愛知県,中小,140,,185,,435,,173,,246,,20191223
22,あおみ建設（株）,11-00138,東京都,中小,539,,730,,,,,,,,20191223
23,（株）赤沼測量設計,21-02662,札幌市,中小,702,,,,,,,,,,20191223
24,（株）アキマ光測量設計,25-00691,旭川市,中小,702,,,,,,,,,,20191223
25,（株）秋元技術コンサルタンツ,11-03596,宮城県,中小,209,,928,,,,58,,,,20191223
26,（株）アクアソーケン,21-00899,札幌市,中小,702,,686,,,,,,,,20191223
27,（株）アクセスフィールド,25-00394,士別市,中小,539,,928,,,,173,,,,20191223
28,（株）アコード,11-04709,大阪府,中小,362,,928,,,,,,,,20191223
29,（株）アサノ大成基礎エンジニアリング,11-00765,東京都,大手,140,,185,,207,,,,1,,20191223
30,（株）旭,11-05400,石川県,中小,539,,928,,,,,,,,20191223
31,旭川設計測量（株）,25-00138,旭川市,中小,209,,609,,,,173,,,,20191223
32,（株）アサヒ建設コンサルタント,25-00326,旭川市,中小,140,,106,,435,,173,,142,,20191223
33,旭工榮（株）,11-03673,埼玉県,中小,340,,686,,,,342,,428,,20191223
34,朝日航洋（株）,11-00007,東京都,大手,1,,1,,,,173,,246,,20191223
35,アサヒコンサルタント（株）,26-00280,新冠郡新冠町,中小,702,,828,,,,153,,,,20191223
36,旭設計（有）,29-00990,紋別市,中小,915,,1116,,,,,,,,20191223
37,旭総合コンサルタント（株）,11-04675,東京都,中小,944,,1059,,,,,,,,20191223
38,（株）アサヒ測量設計,11-05081,茨城県,中小,539,,928,,,,173,,246,,20191223
39,旭ボーリング（株）,11-03734,岩手県,中小,539,,730,,,,,,108,,20191223
40,（株）アジア共同設計コンサルタント,11-00770,神奈川県,大手,276,,1,,435,,,,246,,20191223
41,アジア航測（株）,11-00244,東京都,大手,1,,1,,289,,157,,27,,20191223
42,アジアプランニング（株）,11-05409,熊本県,中小,276,,185,,435,,173,,,,20191223
43,（株）アスカ,11-04284,大阪府,中小,505,,,,,,390,,,,20191223
44,アスカ測量設計（株）,11-04613,千葉県,中小,869,,,,,,342,,,,20191223
45,（株）アップス,11-02339,宮崎県,中小,485,,599,,571,,342,,,,20191223
46,（株）アトラス,11-04008,島根県,中小,209,,361,,435,,173,,246,,20191223
47,（有）網走測量設計社,29-00218,網走市,中小,539,,,,,,,,,,20191223
48,（株）阿部工測,25-01044,旭川市,中小,915,,,,,,,,,,20191223
49,（株）アメニテック,11-04643,石川県,中小,702,,828,,,,,,,,20191223
50,荒木測量設計（株）,25-00334,旭川市,中小,362,,928,,,,173,,,,20191223
51,アラタ設計（株）,29-00802,北見市,中小,915,,1116,,,,,,,,20191223
52,アラヤ総合設計（株）,28-00413,帯広市,中小,412,,566,,,,173,,246,,20191223
53,（株）有明測量開発社,11-05048,熊本県,大手,34,,314,,,,108,,246,,20191223
54,蟻戸測量設計（株）,21-00433,札幌市,中小,806,,,,,,,,,,20191223
55,（株）アリヤス設計コンサルタント,21-00493,札幌市,中小,412,,488,,,,,,246,,20191223
56,（株）アルゴス,11-00355,新潟県,中小,209,,361,,,,84,,,,20191223
57,アルスマエヤ（株）,21-01110,札幌市,中小,276,,488,,,,173,,246,,20191223
58,（株）アルト技研,21-00914,札幌市,中小,412,,361,,,,173,,,,20191223
59,（株）アルト舎,11-05053,奈良県,中小,933,,1146,,639,,,,,,20191223
60,（株）アルファ技研,21-00190,札幌市,中小,276,,185,,,,,,,,20191223
61,アルファ計画（株）,26-00093,苫小牧市,中小,485,,599,,,,342,,214,,20191223
