,firm_name,ceo_name,firm_address,firm_id,civilengineering_qualification,civilengineering_rank,civilengineering_exception,civilengineering_financial_score,civilengineering_technical_score,civilengineering_total_score,builiding_qualification,builiding_rank,builiding_exception,builiding_financial_score,builiding_technical_score,builiding_total_score,asphalt_qualification,asphalt_rank,asphalt_exception,asphalt_financial_score,asphalt_technical_score,asphalt_total_score,bridge_qualification,bridge_rank,bridge_exception,bridge_financial_score,bridge_technical_score,bridge_total_score,prestressed_qualification,prestressed_rank,prestressed_exception,prestressed_financial_score,prestressed_technical_score,prestressed_total_score,dredging_qualification,dredging_rank,dredging_exception,dredging_financial_score,dredging_technical_score,dredging_total_score,machinery_qualification,machinery_rank,machinery_exception,machinery_financial_score,machinery_technical_score,machinery_total_score,pipe_qualification,pipe_rank,pipe_exception,pipe_financial_score,pipe_technical_score,pipe_total_score,electricity_qualification,electricity_rank,electricity_exception,electricity_financial_score,electricity_technical_score,electricity_total_score,painting_qualification,painting_rank,painting_exception,painting_financial_score,painting_technical_score,painting_total_score,landscaping_qualification,landscaping_rank,landscaping_exception,landscaping_financial_score,landscaping_technical_score,landscaping_total_score,waterproof_qualification,waterproof_rank,waterproof_exception,waterproof_financial_score,waterproof_technical_score,waterproof_total_score,grout_qualification,grout_rank,grout_exception,grout_financial_score,grout_technical_score,grout_total_score,well_qualification,well_rank,well_exception,well_financial_score,well_technical_score,well_total_score,maintenance_qualification,maintenance_rank,maintenance_exception,maintenance_financial_score,maintenance_technical_score,maintenance_total_score,others_qualification,others_rank,others_exception,others_financial_score,others_technical_score,others_total_score,date
0,あおみ・道南綜合・濱谷　経常ＪＶ,河邊　知之,東京都港区海岸３－１８－２１,59-00824,A,31,,1555,925,2480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20191223
1,あおみ建設（株）,河邊　知之,東京都港区海岸３－１８－２１,11-00138,A,26,,1617,931,2548,C,322,,1139,0,1139,B,254,,957,0,957,○,97,,1089,0,1089,○,69,,1160,0,1160,○,3,,1378,1015,2393,,,,,,,A,163,,1201,0,1201,,,,,,,,,,,,,○,139,,917,0,917,,,,,,,,,,,,,,,,,,,○,311,,1261,0,1261,,,,,,,20191223
2,荒井建設（株）,荒井　保明,北海道旭川市４条西２－２－２,25-00197,A,36,,1275,1165,2440,B,237,,1248,0,1248,A,34,,1159,806,1965,○,53,,1077,179,1256,,,,,,,,,,,,,,,,,,,B,516,,880,0,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,86,,1045,0,1045,○,446,,1045,0,1045,,,,,,,20191223
3,（株）安藤・間,福富　正人,東京都港区赤坂６－１－２０,11-02526,A,11,,1968,814,2782,A,15,,2089,0,2089,B,101,,1418,0,1418,○,37,,1417,0,1417,○,18,,1598,0,1598,○,42,,1344,0,1344,○,56,,1421,0,1421,A,33,,1619,0,1619,A,156,,1440,0,1440,○,50,,1201,0,1201,○,27,,1277,0,1277,○,8,,1104,0,1104,,,,,,,○,8,,1573,0,1573,○,151,,1564,0,1564,○,3,,1051,0,1051,20191223
4,勇・酒井　経常ＪＶ,坂　昭弘,北海道札幌市中央区北６条西１４－４,59-00851,A,56,,1236,1046,2282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20191223
5,勇・真壁・本田　経常ＪＶ,坂　昭弘,北海道札幌市中央区北６条西１４－４,59-00852,A,66,,1248,978,2226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20191223
6,勇建設（株）,坂　昭弘,北海道札幌市中央区北６条西１４－４,21-00209,A,50,,1207,1105,2312,,,,,,,B,372,,857,0,857,○,152,,884,102,986,○,137,,942,0,942,○,51,,924,300,1224,,,,,,,B,344,,968,0,968,,,,,,,,,,,,,○,254,,788,0,788,,,,,,,,,,,,,○,98,,1004,0,1004,○,500,,1004,0,1004,,,,,,,20191223
7,伊藤・アスワン　経常ＪＶ,玉木　勝美,北海道札幌市中央区北四条西４－１,59-00865,A,46,,1379,971,2350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20191223
8,伊藤組土建（株）,玉木　勝美,北海道札幌市中央区北四条西４－１,21-00092,A,24,,1366,1228,2594,B,34,,1397,559,1956,B,392,,848,0,848,○,67,,1002,175,1177,○,117,,973,0,973,○,209,,766,0,766,○,224,,1002,0,1002,B,347,,967,0,967,B,379,,1065,0,1065,○,246,,817,0,817,○,252,,789,0,789,○,34,,889,0,889,,,,,,,○,82,,1056,0,1056,○,440,,1056,0,1056,○,76,,766,0,766,20191223
9,岩倉・渡辺　経常ＪＶ,鈴木　泰至,北海道札幌市中央区南一条西７－１６－２,59-00875,A,29,,1387,1097,2484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20191223
10,岩倉建設（株）,鈴木　泰至,北海道札幌市中央区南一条西７－１６－２,26-00157,A,23,,1371,1224,2595,B,190,,1335,0,1335,B,355,,867,0,867,○,41,,1142,233,1375,○,16,,1013,646,1659,○,14,,982,890,1872,,,,,,,B,494,,887,0,887,,,,,,,○,186,,881,0,881,○,186,,854,0,854,○,35,,882,0,882,,,,,,,○,74,,1096,0,1096,○,368,,1159,0,1159,,,,,,,20191223
11,岩田地崎・伊豆倉　経常ＪＶ,岩田　圭剛,北海道札幌市中央区北二条東１７－２,59-00866,A,27,,1580,963,2543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20191223
12,岩田地崎建設（株）,岩田　圭剛,北海道札幌市中央区北二条東１７－２,21-00463,A,10,,1608,1207,2815,A,13,,1628,543,2171,B,283,,924,0,924,○,25,,1260,301,1561,○,78,,1136,0,1136,○,121,,901,0,901,○,136,,1156,0,1156,A,96,,1349,0,1349,,,,,,,○,158,,910,0,910,○,154,,901,0,901,○,27,,918,0,918,,,,,,,○,49,,1240,0,1240,○,297,,1297,0,1297,○,22,,886,0,886,20191223
13,（株）大林組,蓮輪　賢治,東京都港区港南２－１５－２,11-00084,A,3,,2014,1059,3073,A,21,,2039,0,2039,B,99,,1457,0,1457,○,22,,1644,0,1644,○,9,,1714,504,2218,○,34,,1411,0,1411,○,23,,1759,0,1759,A,16,,1770,0,1770,A,48,,1877,0,1877,,,,,,,○,16,,1378,0,1378,○,4,,1163,0,1163,,,,,,,○,3,,1728,0,1728,○,94,,1675,0,1675,○,2,,1065,0,1065,20191223
14,（株）奥村組,奥村　太加典,大阪府大阪市阿倍野区松崎町２－２－２,11-00033,A,21,,1857,763,2620,B,41,,1909,0,1909,B,146,,1187,0,1187,○,50,,1302,0,1302,○,39,,1360,0,1360,○,48,,1238,0,1238,○,108,,1233,0,1233,A,52,,1516,0,1516,B,180,,1373,0,1373,,,,,,,○,49,,1131,0,1131,,,,,,,,,,,,,○,13,,1491,0,1491,○,145,,1573,0,1573,,,,,,,20191223
15,オリエンタル白石（株）,大野　達也,東京都江東区豊洲５－６－５２,11-00057,A,43,,1620,748,2368,B,162,,1425,0,1425,B,277,,931,0,931,○,71,,1172,0,1172,○,2,,1602,997,2599,,,,,,,○,76,,1313,0,1313,A,108,,1328,0,1328,,,,,,,○,138,,931,0,931,,,,,,,,,,,,,,,,,,,○,34,,1311,0,1311,○,162,,1537,0,1537,,,,,,,20191223
16,萩原・釧石　経常ＪＶ,萩原　一利,北海道帯広市東７条南８－２,59-00862,A,62,,1227,1021,2248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20191223
17,萩原・菱中　経常ＪＶ,萩原　一利,北海道帯広市東７条南８－２,59-00832,A,47,,1291,1057,2348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20191223
18,萩原建設工業（株）,萩原　一利,北海道帯広市東７条南８－２,28-00018,A,42,,1214,1157,2371,A,4,,1210,1233,2443,B,368,,859,0,859,○,62,,980,222,1202,○,21,,1020,542,1562,○,29,,947,542,1489,,,,,,,C,804,,803,0,803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,109,,990,0,990,○,246,,990,393,1383,,,,,,,20191223
19,（株）橋本川島コーポレーション,橋本　毅,北海道旭川市旭町２条７－１２－９０,25-00001,A,63,,1226,1020,2246,B,151,,1207,249,1456,A,21,,1175,916,2091,○,23,,1013,578,1591,○,92,,1070,0,1070,,,,,,,,,,,,,B,524,,878,0,878,,,,,,,○,233,,824,0,824,○,207,,826,0,826,○,43,,838,0,838,,,,,,,,,,,,,○,64,,1114,624,1738,,,,,,,20191223
20,濱谷・山田・葵　経常ＪＶ,濱谷　美津男,北海道釧路市港町３－６,59-00860,A,59,,1263,1007,2270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20191223
21,藤岡・みらい　経常ＪＶ,藤岡　靖士,北海道雨竜郡北竜町字和１９－７,59-00855,A,37,,1514,923,2437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20191223
22,（株）フジタ,奥村　洋治,東京都渋谷区千駄ヶ谷４－２５－２,11-01326,A,22,,1898,704,2602,A,21,,2039,0,2039,B,112,,1344,0,1344,○,38,,1407,0,1407,○,19,,1583,0,1583,○,69,,1116,0,1116,○,59,,1403,0,1403,A,32,,1620,0,1620,A,153,,1450,0,1450,○,54,,1185,0,1185,○,24,,1309,0,1309,○,3,,1191,0,1191,,,,,,,○,12,,1510,0,1510,○,178,,1507,0,1507,○,7,,1013,0,1013,20191223
