,firm_name,firm_id,prefecture,firm_size,surveying_rank,surveying_exception,buildingConsulting_rank,buildingConsulting_exception,civilEngineeringConsulting_rank,civilEngineeringConsulting_exception,geologicalSurvey_rank,geologicalSurvey_exception,compensationConsultanting_rank,compensationConsultanting_exception,date
0,（株）アーキジオ,11-01966,富山県,中小,130,,461,,,,,,73,,20200221
1,アークコーポレーション（株）,28-00031,帯広市,中小,916,,711,,,,,,,,20200221
2,（株）アーク・ジオ・サポート,11-03254,東京都,中小,411,,866,,,,,,,,20200221
3,（株）アークス山上,25-00338,旭川市,中小,540,,489,,,,,,,,20200221
4,（株）アース・アナライザー,11-05421,京都府,中小,967,,,,,,,,,,20200221
5,アースコンサルタント（株）,25-00091,旭川市,中小,817,,567,,,,,,108,,20200221
6,（株）アース設計事務所,21-00870,札幌市,中小,934,,731,,,,,,,,20200221
7,アース測量設計（株）,23-00318,函館市,中小,703,,1060,,,,,,,,20200221
8,（株）アーバン設計,11-04977,佐賀県,中小,817,,929,,,,174,,,,20200221
9,（株）アーバンデザインコンサルタント,11-02179,東京都,中小,540,,610,,435,,,,,,20200221
10,（株）アーバントラフィックエンジニアリング,11-03669,東京都,中小,817,,548,,,,,,,,20200221
11,アールテックコンサルタント（株）,11-03083,東京都,中小,768,,711,,,,,,484,,20200221
12,（株）アイエスシイ,11-02181,愛知県,中小,341,,309,,,,343,,215,,20200221
13,相生エンジニアリング（株）,11-04320,広島県,中小,140,,461,,,,167,,502,,20200221
14,（株）愛河調査設計,11-03069,愛知県,中小,209,,489,,435,,91,,,,20200221
15,（株）Ａｉ測地コンサル,22-03275,江別市,中小,817,,,,,,,,,,20200221
16,会津土建（株）,11-04131,福島県,中小,540,,,,,,,,,,20200221
17,（株）アイテック,11-03928,青森県,中小,363,,610,,,,109,,247,,20200221
18,（株）アイ・ディー・エー,11-04021,群馬県,大手,201,,97,,376,,343,,429,,20200221
19,（株）アイネス,21-01482,札幌市,中小,277,,185,,,,,,247,,20200221
20,アイレック技建（株）,11-02682,東京都,大手,870,,314,,,,,,,,20200221
21,（株）葵エンジニアリング,11-04607,愛知県,中小,140,,185,,435,,174,,247,,20200221
22,あおみ建設（株）,11-00138,東京都,中小,540,,731,,,,,,,,20200221
23,（株）赤沼測量設計,21-02662,札幌市,中小,703,,,,,,,,,,20200221
24,（株）アキマ光測量設計,25-00691,旭川市,中小,703,,,,,,,,,,20200221
25,（株）秋元技術コンサルタンツ,11-03596,宮城県,中小,209,,929,,,,59,,,,20200221
26,（株）アクアソーケン,21-00899,札幌市,中小,703,,687,,,,,,,,20200221
27,（株）アクセスフィールド,25-00394,士別市,中小,540,,929,,,,174,,,,20200221
28,（株）アコード,11-04709,大阪府,中小,363,,929,,,,,,,,20200221
29,（株）アサノ大成基礎エンジニアリング,11-00765,東京都,大手,140,,185,,207,,,,1,,20200221
30,（株）旭,11-05400,石川県,中小,540,,929,,,,,,,,20200221
31,旭川設計測量（株）,25-00138,旭川市,中小,209,,610,,,,174,,,,20200221
32,（株）アサヒ建設コンサルタント,25-00326,旭川市,中小,140,,106,,435,,174,,142,,20200221
33,旭工榮（株）,11-03673,埼玉県,中小,341,,687,,,,343,,429,,20200221
34,朝日航洋（株）,11-00007,東京都,大手,1,,1,,,,174,,247,,20200221
35,アサヒコンサルタント（株）,26-00280,新冠郡新冠町,中小,703,,829,,,,154,,,,20200221
36,旭設計（有）,29-00990,紋別市,中小,916,,1117,,,,,,,,20200221
37,旭総合コンサルタント（株）,11-04675,東京都,中小,945,,1060,,,,,,,,20200221
38,（株）アサヒ測量設計,11-05081,茨城県,中小,540,,929,,,,174,,247,,20200221
39,旭ボーリング（株）,11-03734,岩手県,中小,540,,731,,,,,,108,,20200221
40,（株）アジア共同設計コンサルタント,11-00770,神奈川県,大手,277,,1,,435,,,,247,,20200221
41,アジア航測（株）,11-00244,東京都,大手,1,,1,,289,,158,,27,,20200221
