,airconditioning_exception,airconditioning_financial_score,airconditioning_qualification,airconditioning_rank,airconditioning_technical_score,airconditioning_total_score,asphalt_exception,asphalt_financial_score,asphalt_qualification,asphalt_rank,asphalt_technical_score,asphalt_total_score,bridge_exception,bridge_financial_score,bridge_qualification,bridge_rank,bridge_technical_score,bridge_total_score,bridgemaintenance_exception,bridgemaintenance_financial_score,bridgemaintenance_qualification,bridgemaintenance_rank,bridgemaintenance_score,bridgemaintenance_technical_score,builiding_exception,builiding_financial_score,builiding_qualification,builiding_rank,builiding_technical_score,builiding_total_score,cement_exception,cement_financial_score,cement_qualification,cement_rank,cement_technical_score,cement_total_score,ceo_name,civilengineering_exception,civilengineering_financial_score,civilengineering_qualification,civilengineering_rank,civilengineering_technical_score,civilengineering_total_score,communication_exception,communication_financial_score,communication_qualification,communication_rank,communication_technical_score,communication_total_score,date,dredging_exception,dredging_financial_score,dredging_qualification,dredging_rank,dredging_technical_score,dredging_total_score,electricity_exception,electricity_financial_score,electricity_qualification,electricity_rank,electricity_technical_score,electricity_total_score,firm_address,firm_id,firm_name,grout_exception,grout_financial_score,grout_qualification,grout_rank,grout_technical_score,grout_total_score,landscaping_exception,landscaping_financial_score,landscaping_qualification,landscaping_rank,landscaping_technical_score,landscaping_total_score,machinery_exception,machinery_financial_score,machinery_qualification,machinery_rank,machinery_technical_score,machinery_total_score,maintenance_exception,maintenance_financial_score,maintenance_qualification,maintenance_rank,maintenance_technical_score,maintenance_total_score,painting_exception,painting_financial_score,painting_qualification,painting_rank,painting_technical_score,painting_total_score,prefab_exception,prefab_financial_score,prefab_qualification,prefab_rank,prefab_technical_score,prefab_total_score,prestressed_exception,prestressed_financial_score,prestressed_qualification,prestressed_rank,prestressed_technical_score,prestressed_total_score,slope_exception,slope_financial_score,slope_qualification,slope_rank,slope_technical_score,slope_total_score,stakeout_exception,stakeout_financial_score,stakeout_qualification,stakeout_rank,stakeout_technical_score,stakeout_total_score,substation_exception,substation_financial_score,substation_qualification,substation_rank,substation_technical_score,substation_total_score,well_exception,well_financial_score,well_qualification,well_rank,well_technical_score,well_total_score,woodenbuiliding_exception,woodenbuiliding_financial_score,woodenbuiliding_qualification,woodenbuiliding_rank,woodenbuiliding_technical_score,woodenbuiliding_total_score
0,,,,,,,,849,C,811,0,849,,1044,○,198,0,1044,,1162,○,128,1162,0,,1424,B,103,994,2418,,837,○,431,0,837,逢澤　寛人,,1473,A,34,1731,3204,,,,,,,20210501,,969,○,23,1002,1971,,912,C,525,0,912,岡山県岡山市北区表町１－５－１,4260001000102,アイサワ工業（株）,,1162,○,83,0,1162,,872,B,215,0,872,,865,○,535,0,865,,1162,○,1154,0,1162,,,,,,,,1136,○,76,0,1136,,1071,○,130,0,1071,,1162,○,391,0,1162,,1044,○,105,0,1044,,,,,,,,,,,,,,1136,○,127,0,1136
1,,1227,C,21,0,1227,,1077,C,548,0,1077,,1181,○,160,0,1181,,1330,○,60,1330,0,,1718,A,9,1902,3620,,1077,○,109,0,1077,辻井　靖,,1719,A,20,1740,3459,,,,,,,20210501,,1130,○,97,0,1130,,1035,C,291,0,1035,東京都千代田区神田美土代町１,4010401010452,青木あすなろ建設（株）,,1330,○,51,0,1330,,1134,B,32,0,1134,,1151,○,306,0,1151,,1330,○,110,1004,2334,,,,,,,,1329,○,31,0,1329,,1342,○,74,0,1342,,1330,○,39,807,2137,,1181,○,69,0,1181,,1035,○,298,0,1035,,,,,,,,1329,○,51,0,1329
2,,,,,,,,947,C,622,0,947,,1085,○,181,0,1085,,1247,○,80,1247,0,,1130,D,278,0,1130,,947,○,191,0,947,河邊　知之,,1588,A,49,1459,3047,,,,,,,20210501,,1386,○,3,1447,2833,,,,,,,東京都千代田区外神田２－２－３,6010401076946,あおみ建設（株）,,1247,○,65,0,1247,,908,B,154,0,908,,,,,,,,1247,○,80,1153,2400,,,,,,,,,,,,,,1151,○,104,0,1151,,1247,○,363,0,1247,,,,,,,,,,,,,,,,,,,,,,,,
3,,1355,B,360,0,1355,,1209,C,519,0,1209,,1283,○,146,0,1283,,1532,○,22,1532,0,,1932,A,4,1933,3865,,1145,○,91,0,1145,福富　正人,,1913,A,7,1965,3878,,1279,○,278,0,1279,20210501,,1202,○,89,0,1202,,1256,C,150,0,1256,東京都港区赤坂６－１－２０,2010401051696,（株）安藤・間,,1440,○,34,0,1440,,1200,B,27,0,1200,,1279,○,264,0,1279,,1435,○,964,0,1435,,1203,○,235,0,1203,,1454,○,14,0,1454,,1546,○,17,1386,2932,,1592,○,17,805,2397,,1283,○,57,0,1283,,1209,○,215,0,1209,,,,,,,,1591,○,26,0,1591
4,,1885,B,177,0,1885,,1399,C,459,0,1399,,1682,○,106,0,1682,,1745,○,1,1745,0,,2042,A,8,1726,3768,,1382,○,63,0,1382,蓮輪　賢治,,2018,A,3,1976,3994,,1511,○,216,0,1511,20210501,,1397,○,81,0,1397,,1774,B,334,0,1774,東京都港区港南２－１５－２,7010401088742,（株）大林組,,1770,○,21,0,1770,,1299,B,11,0,1299,,1759,○,171,0,1759,,1698,○,609,0,1698,,,,,,,,2013,○,3,0,2013,,1735,○,15,1304,3039,,1758,○,7,785,2543,,1672,○,18,0,1672,,1578,○,132,0,1578,,,,,,,,1744,○,15,0,1744
5,,1123,C,88,0,1123,,1049,C,564,0,1049,,1157,○,63,833,1990,,1444,○,31,1444,0,,1696,B,44,903,2599,,1049,○,118,0,1049,三宅　啓一,,1677,A,24,1698,3375,,,,,,,20210501,,1345,○,10,975,2320,,1075,C,256,0,1075,岡山県岡山市北区内山下１－１－１３,7260001001493,（株）大本組,,1314,○,55,0,1314,,1051,B,54,0,1051,,1215,○,287,0,1215,,1442,○,947,0,1442,,,,,,,,,,,,,,1210,○,91,0,1210,,1314,○,354,0,1314,,1157,○,76,0,1157,,,,,,,,,,,,,,1306,○,57,0,1306
6,,1283,B,391,0,1283,,1104,C,541,0,1104,,1245,○,149,0,1245,,1479,○,25,1479,0,,1844,A,20,1549,3393,,1104,○,101,0,1104,奥村　太加典,,1807,A,18,1787,3594,,1163,○,314,0,1163,20210501,,1173,○,90,0,1173,,1196,C,178,0,1196,大阪府大阪市阿倍野区松崎町２－２－２,7120001004931,（株）奥村組,,1358,○,7,817,2175,,1063,B,52,0,1063,,1163,○,301,0,1163,,1536,○,16,1256,2792,,,,,,,,1428,○,18,0,1428,,1316,○,36,729,2045,,1508,○,20,836,2344,,1245,○,59,0,1245,,1162,○,234,0,1162,,,,,,,,1476,○,32,0,1476
7,,1189,C,45,0,1189,,939,C,634,0,939,,1177,○,81,678,1855,,1600,○,10,1600,0,,1415,D,72,0,1415,,939,○,202,0,939,大野　達也,,1629,A,36,1573,3202,,,,,,,20210501,,,,,,,,,,,,,東京都江東区豊洲５－６－５２,7010601040057,オリエンタル白石（株）,,1320,○,53,0,1320,,,,,,,,,,,,,,1403,○,37,1210,2613,,958,○,335,0,958,,,,,,,,1583,○,4,1799,3382,,,,,,,,1143,○,83,0,1143,,,,,,,,,,,,,,,,,,
8,,1221,C,27,0,1221,,1053,C,558,0,1053,,1049,○,80,807,1856,,1299,○,64,1299,0,,1708,B,16,991,2699,,1033,○,125,0,1033,荒明　正紀,,1568,A,27,1774,3342,,1034,○,370,0,1034,20210501,,1122,○,99,0,1122,,1049,C,277,0,1049,新潟県新潟市中央区一番堀通町３－１０,9110001004880,（株）福田組,,1252,○,64,0,1252,,981,B,85,0,981,,1059,○,354,0,1059,,1342,○,1053,0,1342,,,,,,,,1257,○,45,0,1257,,1124,○,111,0,1124,,1361,○,9,1117,2478,,1068,○,4,939,2007,,1004,○,333,0,1004,,,,,,,,1368,○,43,0,1368
9,,1528,B,325,0,1528,,1284,C,506,0,1284,,1358,○,139,0,1358,,1584,○,14,1584,0,,1953,A,16,1568,3521,,1209,○,80,0,1209,奥村　洋治,,1914,A,13,1738,3652,,,,,,,20210501,,1160,○,93,0,1160,,1344,C,125,0,1344,東京都渋谷区千駄ヶ谷４－２５－２,8011001039242,（株）フジタ,,1447,○,33,0,1447,,1309,B,8,0,1309,,1379,○,244,0,1379,,1575,○,126,715,2290,,1285,○,221,0,1285,,1508,○,12,0,1508,,1559,○,26,1048,2607,,1570,○,258,0,1570,,1368,○,53,0,1368,,1395,○,156,0,1395,,,,,,,,1594,○,25,0,1594
