,firm_name,firm_id,prefecture,firm_size,surveying_rank,surveying_exception,buildingConsulting_rank,buildingConsulting_exception,civilEngineeringConsulting_rank,civilEngineeringConsulting_exception,geologicalSurvey_rank,geologicalSurvey_exception,compensationConsultanting_rank,compensationConsultanting_exception,date
0,（株）アーキジオ,2230001010477,富山県,中小企業,184,,,,622,,100,,,,20200115
1,アークコーポレーション（株）,4460101000007,北海道,中小企業,1582,,,,1062,,,,,,20200115
2,（株）アーク・ジオ・サポート,1011001044505,東京都,中小企業,619,,,,1355,,,,,,20200115
3,（株）アークスタッフ,7360001008388,沖縄県,中小企業,1266,,,,576,,792,,,,20200115
4,（株）アーク測量設計,4070001023642,群馬県,中小企業,1213,,,,,,,,,,20200115
5,（株）アース・アナライザー,9130001062613,京都府,中小企業,1664,,,,,,,,,,20200115
6,（株）アースクレア,7260001021252,岡山県,中小企業,627,,,,1386,,,,,,20200115
7,（株）アース設計コンサルタント,7013101000010,東京都,中小企業,1164,,,,1249,,,,,,20200115
8,（有）アース測地,6040002065890,千葉県,中小企業,1650,,,,,,,,,,20200115
9,（株）アーステック東洋,4130001013678,京都府,中小企業,1314,,,,1346,,204,,,,20200115
10,（株）アースリサーチ,8030001000063,埼玉県,中小企業,1585,,,,,,344,,,,20200115
11,（株）アート工測,9060001011940,栃木県,中小企業,1205,,,,1771,,,,,,20200115
12,（株）アート総合設計,1080401017824,静岡県,中小企業,1643,-01,710,-01,,,,,,,20200115
13,アーバンエンジニア（株）,6011101000386,東京都,中小企業,1467,,,,1143,,,,,,20200115
14,（株）アーバンシステムコンサルタント,7050001031322,茨城県,中小企業,901,,,,1545,,,,680,,20200115
15,（株）アーバン設計,1380001004366,福島県,中小企業,1214,,1083,,994,,,,,,20200115
16,（株）アーバンデザインコンサルタント,6011101000543,東京都,中小企業,1125,,837,,958,,,,,,20200115
17,（株）アーバントラフィックエンジニアリング,2011101000547,東京都,中小企業,1479,,,,764,,,,,,20200115
18,（株）アーバンパイオニア設計,3120001053676,大阪府,中小企業,1083,,1231,,487,,,,,,20200115
