,firm_name,firm_id,prefecture,firm_size,surveying_rank,surveying_exception,buildingConsulting_rank,buildingConsulting_exception,civilEngineeringConsulting_rank,civilEngineeringConsulting_exception,geologicalSurvey_rank,geologicalSurvey_exception,compensationConsultanting_rank,compensationConsultanting_exception,date
0,（株）アーキジオ,2230001010477,富山県,中小企業, 165, ,,, 581, ,  96, ,,,20191201
1,（株）アーク・ジオ・サポート,1011001044505,東京都,中小企業, 513, ,,,1231, ,,,,,20191201
2,（株）アアク設計,4140001082796,兵庫県,中小企業, 677, ,,, 916, ,,, 674, ,20191201
3,（株）アース,4140001057451,兵庫県,中小企業, 507, ,,,,,,,,,20191201
4,（株）アース・アナライザー,9130001062613,京都府,中小企業,1371, ,,,,,,,,,20191201
5,（株）アースクレア,7260001021252,岡山県,中小企業, 520, ,,,1256, ,,, 733, ,20191201
6,（株）アースＪ,1140001098713,兵庫県,中小企業,1357, ,,,1662, ,,, 798, ,20191201
7,（株）アーステクノ,6270001001072,鳥取県,中小企業,1052, ,,, 917, , 310, , 695, ,20191201
8,アーステック（株）,7160001006924,滋賀県,中小企業, 536, ,,, 574, ,,, 432, ,20191201
9,（株）アーステック東洋,4130001013678,京都府,中小企業,1066, ,,,1223, , 186, ,,,20191201
10,（株）アースライズカンパニー,5260001010983,岡山県,中小企業,1268,-01,,,1662,-01, 757,-01,,,20191201
11,（株）アーバンクリエイト,2140001080075,兵庫県,中小企業,1023, ,,,,,,,,,20191201
12,アーバンクリエイト（株）,4140001085964,兵庫県,中小企業,1065, ,1012, ,1578, , 703, , 712, ,20191201
13,（株）アーバン設計,7300001000020,佐賀県,中小企業,1136, ,,,1310, , 756, , 282, ,20191201
14,（株）アーバンデザインコンサルタント,6011101000543,東京都,中小企業, 906, , 749, , 891, ,,,,,20191201
15,（株）アーバントラフィックエンジニアリング,2011101000547,東京都,中小企業,1181, ,,, 712, ,,,,,20191201
16,（株）アーバンパイオニア設計,3120001053676,大阪府,中小企業, 866, ,1068, , 459, ,,,,,20191201
17,（株）アール・エス,7170001010479,和歌山県,中小企業,1306, ,,,,,,,,,20191201
