,firm_name,ceo_name,firm_address,firm_id,civilengineering_qualification,civilengineering_rank,civilengineering_exception,civilengineering_financial_score,civilengineering_technical_score,civilengineering_total_score,asphalt_qualification,asphalt_rank,asphalt_exception,asphalt_financial_score,asphalt_technical_score,asphalt_total_score,bridge_qualification,bridge_rank,bridge_exception,bridge_financial_score,bridge_technical_score,bridge_total_score,landscaping_qualification,landscaping_rank,landscaping_exception,landscaping_financial_score,landscaping_technical_score,landscaping_total_score,builiding_qualification,builiding_rank,builiding_exception,builiding_financial_score,builiding_technical_score,builiding_total_score,woodenbuiliding_qualification,woodenbuiliding_rank,woodenbuiliding_exception,woodenbuiliding_financial_score,woodenbuiliding_technical_score,woodenbuiliding_total_score,electricity_qualification,electricity_rank,electricity_exception,electricity_financial_score,electricity_technical_score,electricity_total_score,airconditioning_qualification,airconditioning_rank,airconditioning_exception,airconditioning_financial_score,airconditioning_technical_score,airconditioning_total_score,cement_qualification,cement_rank,cement_exception,cement_financial_score,cement_technical_score,cement_total_score,prestressed_qualification,prestressed_rank,prestressed_exception,prestressed_financial_score,prestressed_technical_score,prestressed_total_score,slope_qualification,slope_rank,slope_exception,slope_financial_score,slope_technical_score,slope_total_score,painting_qualification,painting_rank,painting_exception,painting_financial_score,painting_technical_score,painting_total_score,maintenance_qualification,maintenance_rank,maintenance_exception,maintenance_financial_score,maintenance_technical_score,maintenance_total_score,dredging_qualification,dredging_rank,dredging_exception,dredging_financial_score,dredging_technical_score,dredging_total_score,grout_qualification,grout_rank,grout_exception,grout_financial_score,grout_technical_score,grout_total_score,stakeout_qualification,stakeout_rank,stakeout_exception,stakeout_financial_score,stakeout_technical_score,stakeout_total_score,well_qualification,well_rank,well_exception,well_financial_score,well_technical_score,well_total_score,prefab_qualification,prefab_rank,prefab_exception,prefab_financial_score,prefab_technical_score,prefab_total_score,machinery_qualification,machinery_rank,machinery_exception,machinery_financial_score,machinery_technical_score,machinery_total_score,communication_qualification,communication_rank,communication_exception,communication_financial_score,communication_technical_score,communication_total_score,substation_qualification,substation_rank,substation_exception,substation_financial_score,substation_technical_score,substation_total_score,bridgemaintenance_qualification,bridgemaintenance_rank,bridgemaintenance_exception,bridgemaintenance_financial_score,bridgemaintenance_technical_score,bridgemaintenance_score,date
0,アイサワ工業（株）,逢澤　寛人,岡山県岡山市北区表町１－５－１,4260001000102,A,  34, ,1473,1731,3204,C, 411, ,849,0,849,○, 192, ,1044,0,1044,B, 206, ,872,0,872,B,  78, ,1424,994,2418,○, 106, ,1136,0,1136,C, 486, ,912,0,912,,,,,,,○, 313, ,837,0,837,○, 125, ,1071,0,1071,○, 466, ,1162,0,1162,,,,,,,○, 979, ,1162,0,1162,○,  23, ,969,1002,1971,○,  86, ,1162,0,1162,○,  75, ,1044,0,1044,,,,,,,○,  74, ,1136,0,1136,○, 521, ,865,0,865,,,,,,,,,,,,,○, 117, ,1162,0,1162,20211115
1,青木あすなろ建設（株）,辻井　靖,東京都千代田区神田美土代町１,4010401010452,A,  20, ,1719,1740,3459,C, 188, ,1077,0,1077,○, 155, ,1181,0,1181,B,  83, ,1134,0,1134,A,   9, ,1718,1902,3620,○,  47, ,1329,0,1329,C, 304, ,1035,0,1035,C,  65, ,1227,0,1227,○,  83, ,1077,0,1077,○,  74, ,1342,0,1342,○,  45, ,1330,807,2137,,,,,,,○,  95, ,1330,1004,2334,○,  92, ,1130,0,1130,○,  54, ,1330,0,1330,○,  43, ,1181,0,1181,,,,,,,○,  29, ,1329,0,1329,○, 314, ,1151,0,1151,,,,,,,○, 273, ,1035,0,1035,○,  59, ,1330,0,1330,20211115
2,（株）安藤・間,福富　正人,東京都港区赤坂６－１－２０,2010401051696,A,   7, ,1913,1965,3878,C, 165, ,1209,0,1209,○, 140, ,1283,0,1283,B,  77, ,1200,0,1200,A,   4, ,1932,1933,3865,○,  21, ,1591,0,1591,C, 180, ,1256,0,1256,C,  19, ,1355,0,1355,○,  69, ,1145,0,1145,○,  17, ,1546,1386,2932,○,  17, ,1592,805,2397,○, 216, ,1203,0,1203,○, 806, ,1435,0,1435,○,  84, ,1202,0,1202,○,  36, ,1440,0,1440,○,  31, ,1283,0,1283,,,,,,,○,  14, ,1454,0,1454,○, 273, ,1279,0,1279,○, 253, ,1279,0,1279,○, 202, ,1209,0,1209,○,  21, ,1532,0,1532,20211115
3,（株）大林組,蓮輪　賢治,東京都港区港南２－１５－２,7010401088742,A,   3, ,2018,1976,3994,C, 136, ,1399,0,1399,○, 100, ,1682,0,1682,B,  60, ,1299,0,1299,A,   8, ,2042,1726,3768,○,  14, ,1744,0,1744,B, 236, ,1774,0,1774,B, 113, ,1885,0,1885,○,  47, ,1382,0,1382,○,  15, ,1735,1304,3039,○,   7, ,1758,785,2543,,,,,,,○, 540, ,1698,0,1698,○,  70, ,1397,0,1397,○,  22, ,1770,0,1770,○,  12, ,1672,0,1672,,,,,,,○,   3, ,2013,0,2013,○, 166, ,1759,0,1759,○, 196, ,1511,0,1511,○, 118, ,1578,0,1578,○,   1, ,1745,0,1745,20211115
4,（株）大本組,三宅　啓一,岡山県岡山市北区内山下１－１－１３,7260001001493,A,  24, ,1677,1698,3375,C, 202, ,1049,0,1049,○,  61, ,1157,833,1990,B, 102, ,1051,0,1051,B,  41, ,1696,903,2599,○,  52, ,1306,0,1306,C, 276, ,1075,0,1075,C, 125, ,1123,0,1123,○,  90, ,1049,0,1049,○,  90, ,1210,0,1210,○, 422, ,1314,0,1314,,,,,,,○, 800, ,1442,0,1442,○,  10, ,1345,975,2320,○,  58, ,1314,0,1314,○,  50, ,1157,0,1157,,,,,,,,,,,,,○, 296, ,1215,0,1215,,,,,,,,,,,,,○,  30, ,1444,0,1444,20211115
5,（株）奥村組,奥村　太加典,大阪府大阪市阿倍野区松崎町２－２－２,7120001004931,A,  18, ,1807,1787,3594,C, 181, ,1104,0,1104,○, 144, ,1245,0,1245,B, 100, ,1063,0,1063,A,  20, ,1844,1549,3393,○,  28, ,1476,0,1476,C, 204, ,1196,0,1196,C,  43, ,1283,0,1283,○,  77, ,1104,0,1104,○,  36, ,1316,729,2045,○,  21, ,1508,836,2344,,,,,,,○,  22, ,1536,1161,2697,○,  85, ,1173,0,1173,○,   7, ,1358,817,2175,○,  33, ,1245,0,1245,,,,,,,○,  18, ,1428,0,1428,○, 309, ,1163,0,1163,○, 285, ,1163,0,1163,○, 218, ,1162,0,1162,○,  24, ,1479,0,1479,20211115
6,オリエンタル白石（株）,大野　達也,東京都江東区豊洲５－６－５２,7010601040057,A,  35, ,1629,1573,3202,C, 251, ,939,0,939,○,  78, ,1177,678,1855,,,,,,,D,  98, ,1415,0,1415,,,,,,,,,,,,,C,  90, ,1189,0,1189,○, 156, ,939,0,939,○,   4, ,1583,1801,3384,,,,,,,○, 303, ,958,0,958,○,  35, ,1403,1209,2612,,,,,,,○,  56, ,1320,0,1320,○,  56, ,1143,0,1143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,  10, ,1600,0,1600,20211115
7,（株）福田組,荒明　正紀,新潟県新潟市中央区一番堀通町３－１０,9110001004880,A,  27, ,1568,1774,3342,C, 197, ,1053,0,1053,○,  77, ,1049,807,1856,B, 130, ,981,0,981,B,  24, ,1708,991,2699,○,  39, ,1368,0,1368,C, 289, ,1049,0,1049,C,  71, ,1221,0,1221,○,  98, ,1033,0,1033,○, 108, ,1124,0,1124,○,  10, ,1361,1117,2478,,,,,,,○, 883, ,1342,0,1342,○,  94, ,1122,0,1122,○,  66, ,1252,0,1252,○,   4, ,1068,939,2007,,,,,,,○,  43, ,1257,0,1257,○, 359, ,1059,0,1059,○, 336, ,1034,0,1034,○, 296, ,1004,0,1004,○,  63, ,1299,0,1299,20211115
8,（株）フジタ,奥村　洋治,東京都渋谷区千駄ヶ谷４－２５－２,8011001039242,A,  13, ,1914,1738,3652,C, 155, ,1284,0,1284,○, 134, ,1358,0,1358,B,  59, ,1309,0,1309,A,  16, ,1953,1568,3521,○,  20, ,1594,0,1594,C, 155, ,1344,0,1344,B, 232, ,1528,0,1528,○,  58, ,1209,0,1209,○,  26, ,1559,1048,2607,○, 311, ,1570,0,1570,○, 202, ,1285,0,1285,○, 110, ,1575,715,2290,○,  88, ,1160,0,1160,○,  35, ,1447,0,1447,○,  27, ,1368,0,1368,,,,,,,○,  12, ,1508,0,1508,○, 251, ,1379,0,1379,,,,,,,○, 147, ,1395,0,1395,○,  14, ,1584,0,1584,20211115
9,（株）不動テトラ,奥田　眞也,東京都中央区日本橋小網町７－２,4010001141053,A,  23, ,1642,1742,3384,C, 216, ,1009,0,1009,○, 161, ,1160,0,1160,B, 114, ,1011,0,1011,D, 214, ,1195,0,1195,,,,,,,,,,,,,,,,,,,○, 104, ,1009,0,1009,○,  83, ,1279,0,1279,○, 442, ,1228,0,1228,○, 385, ,857,0,857,○, 944, ,1228,0,1228,○,   7, ,1277,1345,2622,○,  72, ,1228,0,1228,○,  49, ,1160,0,1160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,  72, ,1268,0,1268,20211115
