,firm_name,ceo_name,firm_address,firm_id,civilengineering_qualification,civilengineering_rank,civilengineering_exception,civilengineering_financial_score,civilengineering_technical_score,civilengineering_total_score,asphalt_qualification,asphalt_rank,asphalt_exception,asphalt_financial_score,asphalt_technical_score,asphalt_total_score,bridge_qualification,bridge_rank,bridge_exception,bridge_financial_score,bridge_technical_score,bridge_total_score,landscaping_qualification,landscaping_rank,landscaping_exception,landscaping_financial_score,landscaping_technical_score,landscaping_total_score,builiding_qualification,builiding_rank,builiding_exception,builiding_financial_score,builiding_technical_score,builiding_total_score,woodenbuiliding_qualification,woodenbuiliding_rank,woodenbuiliding_exception,woodenbuiliding_financial_score,woodenbuiliding_technical_score,woodenbuiliding_total_score,electricity_qualification,electricity_rank,electricity_exception,electricity_financial_score,electricity_technical_score,electricity_total_score,airconditioning_qualification,airconditioning_rank,airconditioning_exception,airconditioning_financial_score,airconditioning_technical_score,airconditioning_total_score,cement_qualification,cement_rank,cement_exception,cement_financial_score,cement_technical_score,cement_total_score,prestressed_qualification,prestressed_rank,prestressed_exception,prestressed_financial_score,prestressed_technical_score,prestressed_total_score,slope_qualification,slope_rank,slope_exception,slope_financial_score,slope_technical_score,slope_total_score,painting_qualification,painting_rank,painting_exception,painting_financial_score,painting_technical_score,painting_total_score,maintenance_qualification,maintenance_rank,maintenance_exception,maintenance_financial_score,maintenance_technical_score,maintenance_total_score,dredging_qualification,dredging_rank,dredging_exception,dredging_financial_score,dredging_technical_score,dredging_total_score,grout_qualification,grout_rank,grout_exception,grout_financial_score,grout_technical_score,grout_total_score,stakeout_qualification,stakeout_rank,stakeout_exception,stakeout_financial_score,stakeout_technical_score,stakeout_total_score,well_qualification,well_rank,well_exception,well_financial_score,well_technical_score,well_total_score,prefab_qualification,prefab_rank,prefab_exception,prefab_financial_score,prefab_technical_score,prefab_total_score,machinery_qualification,machinery_rank,machinery_exception,machinery_financial_score,machinery_technical_score,machinery_total_score,communication_qualification,communication_rank,communication_exception,communication_financial_score,communication_technical_score,communication_total_score,substation_qualification,substation_rank,substation_exception,substation_financial_score,substation_technical_score,substation_total_score,date
0,青木あすなろ建設（株）,辻井　靖,東京都千代田区神田美土代町１,4010401010452,A,20,,1678,1888,3566,B,720,,1044,0,1044,○,144,,1188,0,1188,B,25,,1104,0,1104,B,3,,1675,1404,3079,○,75,,1293,0,1293,C,174,,1005,0,1005,C,60,,1189,0,1189,○,89,,1044,0,1044,○,96,,1318,0,1318,○,51,,1298,870,2168,,,,,,,○,74,,1298,1108,2406,○,108,,1098,0,1098,○,67,,1298,0,1298,○,58,,1188,0,1188,,,,,,,○,37,,1293,0,1293,○,309,,1109,0,1109,,,,,,,○,247,,1005,0,1005,20191115
1,（株）安藤・間,福富　正人,東京都港区赤坂６－１－２０,2010401051696,A,7,,1968,2036,4004,B,670,,1351,0,1351,○,126,,1350,0,1350,B,9,,1217,0,1217,A,5,,1990,1984,3974,○,23,,1657,0,1657,C,30,,1312,0,1312,B,285,,1410,0,1410,○,47,,1302,0,1302,○,25,,1522,1246,2768,○,12,,1603,868,2471,○,208,,1201,0,1201,○,920,,1490,0,1490,○,89,,1280,0,1280,○,39,,1499,0,1499,○,41,,1329,0,1329,,,,,,,○,18,,1512,0,1512,○,247,,1354,0,1354,○,240,,1354,0,1354,○,134,,1294,0,1294,20191115
2,（株）大林組,蓮輪　賢治,東京都港区港南２－１５－２,7010401088742,A,3,,2014,2077,4091,B,642,,1424,0,1424,○,87,,1644,0,1644,B,1,,1378,0,1378,A,6,,2039,1853,3892,○,13,,1745,0,1745,B,264,,1795,0,1795,B,185,,1755,0,1755,○,42,,1435,0,1435,○,12,,1714,1580,3294,○,5,,1695,864,2559,,,,,,,○,678,,1676,0,1676,○,73,,1411,0,1411,○,24,,1728,0,1728,○,16,,1686,0,1686,,,,,,,○,5,,1967,0,1967,○,159,,1759,0,1759,○,191,,1505,0,1505,○,67,,1638,0,1638,20191115
3,（株）大本組,大本　万平,岡山県岡山市北区内山下１－１－１３,7260001001493,A,31,,1634,1709,3343,B,725,,1021,0,1021,○,153,,1155,0,1155,B,41,,1029,0,1029,B,26,,1695,1057,2752,○,77,,1282,0,1282,C,145,,1048,0,1048,C,109,,1099,0,1099,○,98,,1021,0,1021,○,111,,1182,0,1182,○,382,,1282,0,1282,,,,,,,○,147,,1417,821,2238,○,9,,1365,990,2355,○,69,,1282,0,1282,○,66,,1155,0,1155,,,,,,,,,,,,,○,275,,1204,0,1204,,,,,,,,,,,,,20191115
4,（株）奥村組,奥村　太加典,大阪府大阪市阿倍野区松崎町２－２－２,7120001004931,A,14,,1861,1910,3771,B,689,,1187,0,1187,○,133,,1302,0,1302,B,22,,1131,0,1131,A,13,,1909,1762,3671,○,37,,1554,0,1554,C,13,,1373,0,1373,B,294,,1373,0,1373,○,64,,1187,0,1187,○,35,,1360,943,2303,○,16,,1525,905,2430,,,,,,,○,30,,1574,1061,2635,○,91,,1238,0,1238,○,4,,1491,889,2380,○,45,,1302,0,1302,,,,,,,○,22,,1468,0,1468,○,267,,1233,0,1233,○,267,,1233,0,1233,○,146,,1239,0,1239,20191115
5,（株）フジタ,奥村　洋治,東京都渋谷区千駄ヶ谷４－２５－２,8011001039242,A,1,,2102,2101,4203,B,45,,1408,816,2224,○,112,,1474,0,1474,B,2,,1371,0,1371,A,2,,2136,1963,4099,○,15,,1735,0,1735,B,437,,1477,0,1477,A,28,,1680,1092,2772,○,61,,1196,0,1196,○,15,,1658,1461,3119,○,22,,1702,679,2381,○,213,,1185,0,1185,○,97,,1579,761,2340,○,93,,1227,0,1227,○,33,,1582,0,1582,○,1,,1512,975,2487,,,,,,,○,12,,1647,0,1647,○,201,,1543,0,1543,,,,,,,○,117,,1352,0,1352,20191115
6,（株）不動テトラ,奥田　眞也,東京都中央区日本橋小網町７－２　ぺんてるビル,4010001141053,A,23,,1682,1830,3512,B,692,,1168,0,1168,○,141,,1204,0,1204,B,35,,1061,0,1061,D,43,,1272,0,1272,,,,,,,,,,,,,,,,,,,○,81,,1069,0,1069,○,94,,1328,0,1328,○,385,,1276,0,1276,○,321,,902,0,902,○,1101,,1276,0,1276,○,86,,1297,0,1297,○,71,,1276,0,1276,○,56,,1204,0,1204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20191115
7,鹿島建設（株）,押味　至一,東京都港区元赤坂１－３－１,8010401006744,A,2,,2027,2069,4096,B,665,,1366,0,1366,○,116,,1428,0,1428,B,28,,1100,0,1100,A,1,,2049,2074,4123,○,24,,1652,0,1652,C,11,,1381,0,1381,B,33,,1406,761,2167,○,46,,1366,0,1366,○,6,,1694,1729,3423,○,302,,1549,0,1549,○,211,,1192,0,1192,○,23,,1589,1140,2729,○,78,,1394,0,1394,○,35,,1551,0,1551,○,2,,1532,946,2478,○,36,,1075,0,1075,○,13,,1631,0,1631,○,196,,1566,0,1566,○,229,,1394,0,1394,○,121,,1339,0,1339,20191115
8,（株）熊谷組,櫻野　泰則,東京都新宿区津久戸町２－１,1210001001082,A,12,,1887,1904,3791,B,685,,1207,0,1207,○,119,,1398,0,1398,B,11,,1211,0,1211,A,9,,1915,1917,3832,○,43,,1492,0,1492,C,43,,1280,0,1280,C,23,,1293,0,1293,○,60,,1207,0,1207,○,34,,1567,760,2327,○,272,,1591,0,1591,○,257,,1018,0,1018,○,25,,1626,1063,2689,○,95,,1212,0,1212,○,8,,1425,794,2219,○,42,,1326,0,1326,,,,,,,○,23,,1437,0,1437,○,242,,1373,0,1373,○,68,,1329,879,2208,○,154,,1213,0,1213,20191115
9,（株）鴻池組,蔦田　守弘,大阪府大阪市中央区北久宝寺町３－６－１,5120001026309,A,11,,1819,1997,3816,B,724,,1022,0,1022,○,129,,1335,0,1335,B,48,,987,0,987,A,11,,1890,1888,3778,○,38,,1540,0,1540,C,39,,1289,0,1289,B,25,,1461,731,2192,○,108,,1000,0,1000,○,30,,1466,1006,2472,○,23,,1484,866,2350,○,229,,1099,0,1099,○,816,,1571,0,1571,○,104,,1121,0,1121,○,50,,1388,0,1388,○,40,,1335,0,1335,,,,,,,○,25,,1412,0,1412,○,302,,1133,0,1133,○,331,,1018,0,1018,○,127,,1312,0,1312,20191115
10,五洋建設（株）,清水　琢三,東京都文京区後楽２－２－８,1010001000006,A,10,,1958,1891,3849,B,673,,1325,0,1325,○,43,,1480,583,2063,B,23,,1115,0,1115,A,3,,1930,2068,3998,○,40,,1510,0,1510,C,29,,1315,0,1315,C,10,,1335,0,1335,○,44,,1412,0,1412,○,24,,1509,1326,2835,○,15,,1580,868,2448,○,240,,1056,0,1056,○,9,,1641,1356,2997,○,5,,1681,1066,2747,○,28,,1651,0,1651,○,54,,1215,0,1215,,,,,,,,,,,,,○,209,,1511,0,1511,,,,,,,,,,,,,20191115
