,firm_name,ceo_name,firm_address,firm_id,civilengineering_qualification,civilengineering_rank,civilengineering_exception,civilengineering_financial_score,civilengineering_technical_score,civilengineering_total_score,asphalt_qualification,asphalt_rank,asphalt_exception,asphalt_financial_score,asphalt_technical_score,asphalt_total_score,bridge_qualification,bridge_rank,bridge_exception,bridge_financial_score,bridge_technical_score,bridge_total_score,landscaping_qualification,landscaping_rank,landscaping_exception,landscaping_financial_score,landscaping_technical_score,landscaping_total_score,builiding_qualification,builiding_rank,builiding_exception,builiding_financial_score,builiding_technical_score,builiding_total_score,woodenbuiliding_qualification,woodenbuiliding_rank,woodenbuiliding_exception,woodenbuiliding_financial_score,woodenbuiliding_technical_score,woodenbuiliding_total_score,electricity_qualification,electricity_rank,electricity_exception,electricity_financial_score,electricity_technical_score,electricity_total_score,airconditioning_qualification,airconditioning_rank,airconditioning_exception,airconditioning_financial_score,airconditioning_technical_score,airconditioning_total_score,cement_qualification,cement_rank,cement_exception,cement_financial_score,cement_technical_score,cement_total_score,prestressed_qualification,prestressed_rank,prestressed_exception,prestressed_financial_score,prestressed_technical_score,prestressed_total_score,slope_qualification,slope_rank,slope_exception,slope_financial_score,slope_technical_score,slope_total_score,painting_qualification,painting_rank,painting_exception,painting_financial_score,painting_technical_score,painting_total_score,maintenance_qualification,maintenance_rank,maintenance_exception,maintenance_financial_score,maintenance_technical_score,maintenance_total_score,dredging_qualification,dredging_rank,dredging_exception,dredging_financial_score,dredging_technical_score,dredging_total_score,grout_qualification,grout_rank,grout_exception,grout_financial_score,grout_technical_score,grout_total_score,stakeout_qualification,stakeout_rank,stakeout_exception,stakeout_financial_score,stakeout_technical_score,stakeout_total_score,well_qualification,well_rank,well_exception,well_financial_score,well_technical_score,well_total_score,prefab_qualification,prefab_rank,prefab_exception,prefab_financial_score,prefab_technical_score,prefab_total_score,machinery_qualification,machinery_rank,machinery_exception,machinery_financial_score,machinery_technical_score,machinery_total_score,communication_qualification,communication_rank,communication_exception,communication_financial_score,communication_technical_score,communication_total_score,substation_qualification,substation_rank,substation_exception,substation_financial_score,substation_technical_score,substation_total_score,bridgemaintenance_qualification,bridgemaintenance_rank,bridgemaintenance_exception,bridgemaintenance_financial_score,bridgemaintenance_technical_score,bridgemaintenance_score,date
0,青木あすなろ建設（株）,辻井　靖,東京都千代田区神田美土代町１,4010401010452,A,20,,1719,1740,3459,B,700,,1077,0,1077,○,142,,1181,0,1181,B,19,,1134,0,1134,B,特,-01,1718,1902,3620,○,69,,1329,0,1329,C,175,,1035,0,1035,C,58,,1227,0,1227,○,86,,1077,0,1077,○,93,,1342,0,1342,○,52,,1330,807,2137,,,,,,,○,92,,1330,1004,2334,○,79,,1130,0,1130,○,54,,1330,0,1330,○,50,,1181,0,1181,,,,,,,○,28,,1329,0,1329,○,288,,1151,0,1151,,,,,,,○,243,,1035,0,1035,○,57,,1330,0,1330,20211101
1,（株）安藤・間,福富　正人,東京都港区赤坂６－１－２０,2010401051696,A,7,,1913,1965,3878,B,679,,1209,0,1209,○,132,,1283,0,1283,B,14,,1200,0,1200,A,4,,1932,1933,3865,○,40,,1591,0,1591,C,65,,1256,0,1256,C,7,,1355,0,1355,○,74,,1145,0,1145,○,18,,1546,1386,2932,○,18,,1592,805,2397,○,217,,1203,0,1203,○,903,,1435,0,1435,○,72,,1202,0,1202,○,38,,1440,0,1440,○,39,,1283,0,1283,,,,,,,○,15,,1454,0,1454,○,247,,1279,0,1279,○,263,,1279,0,1279,○,171,,1209,0,1209,○,20,,1532,0,1532,20211101
2,（株）大林組,蓮輪　賢治,東京都港区港南２－１５－２　品川インターシティＢ棟,7010401088742,A,3,,2018,1976,3994,B,647,,1399,0,1399,○,92,,1682,0,1682,B,5,,1299,0,1299,A,8,,2042,1726,3768,○,24,,1744,0,1744,B,306,,1774,0,1774,B,118,,1885,0,1885,○,54,,1382,0,1382,○,15,,1735,1304,3039,○,7,,1758,785,2543,,,,,,,○,619,,1698,0,1698,○,65,,1397,0,1397,○,20,,1770,0,1770,○,18,,1672,0,1672,,,,,,,○,3,,2013,0,2013,○,156,,1759,0,1759,○,188,,1511,0,1511,○,100,,1578,0,1578,○,1,,1745,0,1745,20211101
3,（株）大本組,三宅　啓一,岡山県岡山市北区内山下１－１－１３,7260001001493,A,24,,1677,1698,3375,B,712,,1049,0,1049,○,60,,1157,833,1990,B,36,,1051,0,1051,B,41,,1696,903,2599,○,73,,1306,0,1306,C,154,,1075,0,1075,C,107,,1123,0,1123,○,93,,1049,0,1049,○,109,,1210,0,1210,○,378,,1314,0,1314,,,,,,,○,892,,1442,0,1442,○,10,,1345,975,2320,○,58,,1314,0,1314,○,57,,1157,0,1157,,,,,,,,,,,,,○,269,,1215,0,1215,,,,,,,,,,,,,○,28,,1444,0,1444,20211101
4,（株）奥村組,奥村　太加典,大阪府大阪市阿倍野区松崎町２－２－２,7120001004931,A,18,,1807,1787,3594,B,694,,1104,0,1104,○,135,,1245,0,1245,B,34,,1063,0,1063,A,20,,1844,1549,3393,○,50,,1476,0,1476,C,89,,1196,0,1196,C,36,,1283,0,1283,○,81,,1104,0,1104,○,37,,1316,729,2045,○,19,,1508,836,2344,,,,,,,○,21,,1536,1161,2697,○,73,,1173,0,1173,○,7,,1358,817,2175,○,41,,1245,0,1245,,,,,,,○,19,,1428,0,1428,○,283,,1163,0,1163,○,293,,1163,0,1163,○,188,,1162,0,1162,○,23,,1479,0,1479,20211101
5,（株）フジタ,奥村　洋治,東京都渋谷区千駄ヶ谷４－２５－２,8011001039242,A,13,,1914,1738,3652,B,667,,1284,0,1284,○,126,,1358,0,1358,B,4,,1309,0,1309,A,16,,1953,1568,3521,○,38,,1594,0,1594,C,41,,1344,0,1344,B,260,,1528,0,1528,○,64,,1209,0,1209,○,26,,1559,1048,2607,○,303,,1570,0,1570,○,206,,1285,0,1285,○,108,,1575,715,2290,○,76,,1160,0,1160,○,37,,1447,0,1447,○,35,,1368,0,1368,,,,,,,○,13,,1508,0,1508,○,232,,1379,0,1379,,,,,,,○,117,,1395,0,1395,○,13,,1584,0,1584,20211101
6,（株）不動テトラ,奥田　眞也,東京都中央区日本橋小網町７－２　ぺんてるビル,4010001141053,A,23,,1642,1742,3384,B,723,,1009,0,1009,○,148,,1160,0,1160,B,44,,1011,0,1011,D,53,,1195,0,1195,,,,,,,,,,,,,,,,,,,○,110,,1009,0,1009,○,101,,1279,0,1279,○,393,,1228,0,1228,○,386,,857,0,857,○,1002,,1228,0,1228,○,7,,1277,1345,2622,○,71,,1228,0,1228,○,56,,1160,0,1160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,70,,1268,0,1268,20211101
7,鹿島建設（株）,天野　裕正,東京都港区元赤坂１－３－１,8010401006744,A,1,,2022,2051,4073,B,649,,1399,0,1399,○,121,,1411,0,1411,B,29,,1094,0,1094,A,3,,2042,1870,3912,○,30,,1678,0,1678,C,16,,1434,0,1434,B,283,,1432,0,1432,○,55,,1375,0,1375,○,7,,1732,1504,3236,○,314,,1544,0,1544,○,221,,1194,0,1194,○,35,,1588,1006,2594,○,64,,1398,0,1398,○,29,,1544,0,1544,○,31,,1411,0,1411,○,36,,1069,0,1069,○,10,,1625,0,1625,○,208,,1514,0,1514,○,236,,1400,0,1400,○,113,,1438,0,1438,○,16,,1544,0,1544,20211101
8,（株）熊谷組,櫻野　泰則,東京都新宿区津久戸町２－１,1210001001082,A,10,,1863,1813,3676,B,687,,1163,0,1163,○,125,,1362,0,1362,B,17,,1160,0,1160,A,13,,1872,1680,3552,○,54,,1443,0,1443,C,78,,1213,0,1213,C,71,,1213,0,1213,○,71,,1163,0,1163,○,79,,1578,0,1578,○,308,,1562,0,1562,○,295,,963,0,963,○,19,,1576,1135,2711,○,74,,1168,0,1168,○,45,,1385,0,1385,○,40,,1277,0,1277,,,,,,,○,23,,1394,0,1394,○,256,,1243,0,1243,○,274,,1243,0,1243,○,186,,1166,0,1166,○,39,,1385,0,1385,20211101
9,（株）鴻池組,渡津　弘己,大阪府大阪市中央区北久宝寺町３－６－１,5120001026309,A,11,,1843,1832,3675,B,698,,1090,0,1090,○,128,,1331,0,1331,B,42,,1019,0,1019,A,7,,1909,1868,3777,○,44,,1523,0,1523,C,57,,1280,0,1280,B,286,,1426,0,1426,○,101,,1032,0,1032,○,27,,1479,949,2428,○,34,,1407,803,2210,○,249,,1065,0,1065,○,918,,1407,0,1407,○,103,,1004,0,1004,○,42,,1407,0,1407,○,37,,1331,0,1331,,,,,,,○,18,,1431,0,1431,○,277,,1183,0,1183,○,340,,1039,0,1039,○,137,,1311,0,1311,○,10,,1597,0,1597,20211101
